level,credits,course_2,title_2,course_1,gen_ed,title_1,special
"
L",3.00,GEN EL,General Elective,COMM 232,"
",Found Electronic Media,None
"
L",3.00,GEN EL,General Elective,COMM 234,"
",Electronic Media Announce,None
"
L",3.00,ENGL 252,Introduction to Film,COMM 236,"
",Introduction to Cinema,None
"
L",3.00,GEN EL,General Elective,COMM 238,"
",Video Production I,None
"
L",3.00,GEN EL,General Elective,COMM 239,"
",Audio Production I,None
"
L",3.00,COMM 105,Public Speaking,COMM 240,"
SS",Public Speaking,None
"
L",3.00,GEN EL,General Elective,COMM 241,"
",Elec Media Copywriting,None
"
L",3.00,COMM 202,Group Communication,COMM 242,"
SSC",Comm & Team Building,None
"
L",3.00,GEN EL,General Elective,COMM 244,"
SSC",Communication/Interviewng,None
"
L",3.00,GEN EL,General Elective,COMM 246,"
",Elec Media Newswriting,None
"
L",3.00,GEN EL,General Elective,COMM 247,"
",Intro Parliamentary Proc,None
"
L",0.50-1.00,GEN EL,General Elective,COMM 260,"
",Intercollegiate Debate I,None
"
L",0.50-1.00,GEN EL,General Elective,COMM 261,"
",Intercollegiate Debate II,None
"
L",1.00,GEN EL,General Elective,COMM 263,"
",Practicum in Forensics,None
"
L",3.00,GEN EL,General Elective,COMM 270,"
",Communication and Web Dev,None
"
L",3.00,GEN EL,General Elective,COMM 271,"
",Multimedia Production Two,None
"
U",3.00,GEN EL,General Elective,COMM 422,"
",Communication Theories,None
"
L",3.00,COMM 209,Comm Research Methods,COMM 485,"
",Comm Research Methods,None
"
L",2.00,GEN EL,General Elective,DANCE 110,"
",Dance Appreciation,None
"
L",2.00,GEN EL,General Elective,DANCE 141,"
",Cont Dance Technique I,None
"
L",2.00,GEN EL,General Elective,DANCE 142,"
",Intro Tcnqs/Improv/Cmpstn,None
"
L",2.00,GEN EL,General Elective,DANCE 143,"
",Improvisation,None
"
L",2.00,GEN EL,General Elective,DANCE 144,"
",Jazz Dance,None
"
L",2.00,GEN EL,General Elective,DANCE 145,"
",Ballet I,None
"
L",1.00,GEN EL,General Elective,DANCE 200,"
",Pract-Dance Performance,None
"
L",2.00,GEN EL,General Elective,DANCE 243,"
",Improvisation/Sound,None
"
L",2.00,GEN EL,General Elective,DANCE 244,"
",Contemp Dance Tech II,None
"
L",2.00,GEN EL,General Elective,DANCE 245,"
",Contmp Dance Tech III,None
"
L",2.00,GEN EL,General Elective,DANCE 246,"
",Ballet II,None
"
L",2.00,GEN EL,General Elective,DANCE 248,"
",Dance Composition I,None
"
L",3.00,GEN EL,General Elective,DANCE 249,"
",Dance Composition II,None
"
L",2.00,GEN EL,General Elective,EARLYCHD 222,"
",Early Child Msc Methods,None
"
L",3.00,NDC,No Degree Credit,DEVLPED 050,"
",Study/Academic Surv Skill,None
"
L",3.00,NDC,No Degree Credit,DEVLPED 060,"
",College Literacy,None
"
L",1.00-3.00,GEN EL,General Elective,DEVLPED 080,"
",Student Success Workshop,None
"
L",3.00,GEN EL,General Elective,ECON 105,"
",Global Perspectives,None
"
L",3.00,ECON 101,The American Economy,ECON 200,"
UCTA,SSE",The Economic World,None
"
L",3.00,ECON 120,Principles of Microeconomics,ECON 201,"
SSE",Principles of Microeconomics,None
"
L",3.00,ECON 121,Principles of Macroeconomics,ECON 202,"
SSE",Principles of Macroeconomics,None
"
L",3.00,ECON 202,Principles Macroeconomics,ECON 211,"
",Econ Prin/Pblms/Policies,None
"
L",3.00,ECON 201,Principles Microeconomics,ECON 212,"
",Econ Prin/Pblms/Policies,None
"
L",3.00,GEN EL,General Elective,ECON 213,"
SSE",Econ Prin For Teachers,None
"
L",3.00,QM 210,Business Statistics I,ECON 245,"
",Business Statistics,None
"
L",1.00,GEN EL,General Elective,ECON 245A,"
",Bus Stats I-Cmptr Appltns,None
"
L",4.00,GEN EL,General Elective,ECON 245C,"
",Statistics W/Computr Appl,None
"
U",3.00,ECON 320,Intermediate Micro Theory,ECON 301,"
",Int Microeconomic Anlysis,None
"
U",3.00,ECON 409,Econometrics,ECON 345,"
",Econometrics,None
"
L",3.00,GEN EL,General Elective,EDFOUND 212,"
",Educational Psychology,None
"
L",1.00,GEN EL,General Elective,EDFOUND 214,"
",Portfolio Development I,None
"
L",3.00,GEN EL,General Elective,EDFOUND 222,"
",Child Development,None
"
L",3.00,GEN EL,General Elective,EDFOUND 243,"
",Found of Ed in Plur Soc,None
"
L",3.00,GEN EL,General Elective,EDFNDPRC 210,"
",Intro to Educ & Teaching,None
"
U",3.00,BUS 372,Business Law,FNBSLW 342,"
",Adv Bus & Commercial Law,None
"
U",3.00,FIN 330,Managerial Finance,FNBSLW 344,"
",Business Finance,None
"
L",4.00,GEN EL,General Elective,FORNLANG 101,"
",Beginning Japanese I,None
"
L",4.00,GEN EL,General Elective,FORNLANG 102,"
",Beginning Japanese II,None
"
L",4.00,GEN EL,General Elective,FORNLANG 103,"
",Beginning Japanese III,None
"
L",4.00,GEN EL,General Elective,FORNLANG 141,"
",Beginning Chinese,None
"
L",4.00,GEN EL,General Elective,FORNLANG 142,"
",Beginning Chinese,None
"
L",4.00,GEN EL,General Elective,FORNLANG 201,"
",Intermediate Japanese I,None
"
L",4.00,FREN 103,Introductory French I,FRENCH 141,"
",Beginning French,None
"
L",4.00,FREN 104,Introductory French II,FRENCH 142,"
",Beginning French,None
"
L",4.00,FREN 203,Intermediate French I,FRENCH 251,"
HUL",Intermediate French,None
"
L",4.00,FREN 204,Intermediate French II,FRENCH 252,"
HUL",Intermediate French,None
"
L",3.00,GEN EL,General Elective,FRENCH 260,"
",French Phonetics,None
"
U",3.00,FREN EL,French Studies Elective,FRENCH 310,"
",French Phonetics,None
"
",3.00,Human/Arts EL,Humanities and Arts Elective,FRENCH 321,"
HU",Advanced French Lng Study,None
"
",3.00,Human/Arts EL,Humanities and Arts Elective,FRENCH 322,"
HU",Advanced French Lng Study,None
"
U",3.00,FREN 320,Intro to French Literature:,FRENCH 331,"
",Readings Modern French,None
"
U",3.00,FREN 318,French Civilization & Culture:,FRENCH 340,"
",Contemp French Society,None
"
U",3.00,FREN 301,French Convers and Comp,FRENCH 370,"
",Intro to Business French,None
"
U",3.00,FREN EL,French Studies Elective,FRENCH 491,"
",Travel Study,None
"
L",2.00,GEN EL,General Elective,EDUINDP 211,"
",Intro to Early Childhd Educ,None
"
L",3.00,GEN EL,General Elective,EDUINDP 212,"
",Child/Families Div Society,None
"
L",3.00,GEN EL,General Elective,EDUINDP 213,"
",Develop Young Child,None
"
L",3.00,GEN EL,General Elective,EDUINDP 214,"
",Observ and Reflect in Hd Strt,None
"
L",3.00,GEN EL,General Elective,EDUINDP 215,"
",Art in the Early Years,None
"
L",1.00,GEN EL,General Elective,EDUINDP 216,"
",Seminar: Phase 2 Portfolio,None
"
L",2.00,GEN EL,General Elective,ELEMMID 215,"
",Methds Tch Art Elm/Mdl Sc,None
"
L",2.00,GEN EL,General Elective,ELEMMID 223,"
",Elem School Music Methods,None
"
L",2.00,GEN EL,General Elective,ELEMMID 234,"
",Elem Genrl Music Methods,None
"
L",2.00,GEN EL,General Elective,ELEMMID 236,"
",Elm/Mdl Sch Instr Methods,None
"
",3.00,DNT,Does Not Transfer,ENGLISH 090,"
",Fundamentals of English,None
"
",2.00,NDC,No Degree Credit,ENGLISH 091,"
",Written Communications,None
"
L",3.00,ENGL 100,Fundamentals of English,ENGLISH 101,"
UCTA,",College Writing & Reading,None
"
L",3.00,ENGL 101,Composition and Reading,ENGLISH 102,"
UCTA,RWS",Writing/Reading/Research,None
"
L",3.00,ENGL 101,Composition and Reading,ENGLISH 105,"
UCTA,RWS",Freshman English Honors,None
"
L",4.00,ENGL EL,English Elective,ENGLISH 161,"
",Adv Acad Reading in Esl,None
"
L",4.00,ENGL EL,English Elective,ENGLISH 162,"
",College Wrtg Engl As Sec Lang,None
"
L",3.00,ENGL 267,Literature of Diversity: (Dv),ENGLISH 200,"
HUE,DV",Chican@ Lit: to 1980,None
"
L",3.00,ENGL 267,Literature of Diversity: (Dv),ENGLISH 201,"
HUE,DV",Contemporary Chicano Lit,None
"
L",3.00,ENGL EL,English Elective,ENGLISH 204,"
HUE",Creative Writing II,None
"
L",0.00,ENGL EL,English Elective,ENGLISH 205,"
HUE",Literary Magazines,None
"
L",3.00,ENGL 216,British Literature to 1800,ENGLISH 206,"
",British Lit Survey I,None
"
L",3.00,ENGL 217,"British Literature, 1800-1920",ENGLISH 216,"
HU",British Lit Survey II,None
"
L",3.00,ENGL 226,American Literature to 1855,ENGLISH 226,"
",American Lit Survey I,None
"
L",3.00,GEN EL,General Elective,ENGLISH 234,"
HUE",Shakespeare/Non-Engl Majr,None
"
L",3.00,ENGL 227,"American Literature, 1855-1920",ENGLISH 236,"
HU",Am Literature II,None
"
U",3.00,ENGL 464,Studies in Cultural Trends:,ENGLISH 251,"
",Class Myth/Lgnd Srce Lit,None
"
U",3.00,ENGL 368,The Bible As Literature,ENGLISH 252,"
",The Bible As Literature,None
"
L",3.00,ENGL 246,Survey of  World Literature,ENGLISH 256,"
",World Lit I: Anc Tms-Ren,None
"
L",3.00,ENGL 247,Survey of Modern World Lit,ENGLISH 257,"
",World Lit II: Neocl-Modrn,None
"
L",3.00,ENGL 267,Literature of Diversity: (Dv),ENGLISH 258,"
",Wrld Lit Chna India Japan,None
"
U",3.00,ENGL 332,Modern & Contemp Novel,ENGLISH 263,"
",The Contemporary Novel,None
"
L",3.00,ENGL 269,Introduction to Women Writers:,ENGLISH 264,"
",The West Trad Before 1665,None
"
L",3.00,ENGL 267,Literature of Diversity: (Dv),ENGLISH 265,"
HUE,DV",Multicultural Lit of US,None
"
L",3.00,ENGL 266,Literary Analysis,ENGLISH 271,"
",Crit Writing in English,None
"
L",3.00,ENGL 206,Creative Writing: Poetry,ENGLISH 274,"
",Creative Writng,None
"
U",3.00,ENGL 387,Linguistics,ENGLISH 281,"
",Intro Language Study,None
"
U",3.00,ENGL EL,English Elective,ENGLISH 310,"
",Lit For Adolescents,None
"
L",3.00,ENGL 237,Modrn/Contemp Lit 1920-Present,ENGLISH 322,"
HU",Modern Western Literature,None
"
U",3.00,ENGL EL,English Elective,ENGLISH 360,"
",20th-C British Lit,None
"
L",3.00,ENGL 247,Survey of Modern World Lit,ENGLISH 363,"
",Am Lit in Postmodern Age,None
"
U",3.00,ENGL 320,Shakespeare,ENGLISH 404,"
",Shakespeare,None
"
U",3.00,ENGL EL,English Elective,ENGLISH 483,"
",Controversies in Criticism,None
"
L",4.00,GER 103,Introductory German I,GERMAN 141,"
",Beginning German,None
"
L",4.00,GER 104,Introductory German II,GERMAN 142,"
",Beginning German,None
"
L",4.00,GER 203,Intermediate German I,GERMAN 251,"
",Intermediate German,None
"
L",4.00,GER 204,Intermediate German II,GERMAN 252,"
",Intermediate German,None
"
L",3.00,GEN EL,General Elective,GERMAN 260,"
",German Phonetics,None
"
U",3.00,GEN EL,General Elective,GERMAN 310,"
",German Phonetics,None
"
L",2.00,GEN EL,General Elective,HEALTHED 181,"
",Contemporary Health,None
"
L",1.00,GEN EL,General Elective,HEALTHED 245,"
",Intro to Health Issues,None
"
L",3.00,GEN EL,General Elective,HEALTHED 280,"
",Qual Life & Health Promo,None
"
L",3.00,HESM 271,Lifetime Wellness Lab:,HEALTHED 360,"
SS",Current Topics in Hlth & Well,None
"
L",3.00,GEN EL,General Elective,HISTRY 102,"
",Intro to Amer Indian Studies,None
"
L",3.00-4.00,GEN EL,General Elective,HISTRY 105,"
SSJ",West Civ  Anc Times to  Renais,None
"
L",3.00,GEN EL,General Elective,HISTRY 120,"
DV, SSJ","Erpe & Modrn World,1815 Pres",None
"
L",3.00,HIST 101,U.S.: Origins-Reconstruction,HISTRY 124,"
SSJ",American History to 1877,None
"
L",3.00,HIST 102,U.S.: Reconstuctn-Recent Times,HISTRY 125,"
SSJ",American History Since 1877,None
"
L",3.00,HIST EL,History Elective,HISTRY 130,"
SSJ",East Asian Tradition,None
"
L",3.00,HIST 251,Modernization-East Asia,HISTRY 131,"
",East Asia Since 1800,None
"
L",3.00,GEN EL,General Elective,HISTRY 140,"
SSJ",Intro Latin Amer History,None
"
L",3.00,HIST EL,History Elective,HISTRY 141,"
DV, SSJ",Modern Black Amer History,None
"
L",3.00,GEN EL,General Elective,HISTRY 150,"
",Atlantic History,None
"
L",3.00,HIST 118,West Civ I: Antiquity to 1300,HISTRY 154,"
",Western Civilization,None
"
L",3.00,HIST 119,West Civ II: Midl Ages to 1815,HISTRY 155,"
SSJ",History of Modern Europe,None
"
L",3.00,HIST EL,History Elective,HISTRY 165,"
",Hist Western Science,None
"
L",3.00,HIST EL,History Elective,HISTRY 190,"
SSJ",N Am Environ History,None
"
U",3.00,HIST 350,Historiography and Historians,HISTRY 200,"
",Historical Methods,None
"
L",2.00,HIST 250,Sources and Methods in History,HISTRY 201,"
",Study History: Research,None
"
U",3.00,SS-HIST EL,Soc Sciences - History Elective,HISTRY 313,"
SSJ",Women Amer Hist I,None
"
U",3.00,SS-HIST EL,Soc Sciences - History Elective,HISTRY 314,"
SSJ",Women in Amer Hist 1875-Presen,None
"
U",3.00,HIST EL,History Elective,HISTRY 364,"
",Modern Europe Women Hist,None
"
L",4.00,GEN EL,General Elective,ENVSCI 200,"
NSG",Intro Environ Sci,None
"
L",3.00,GEN EL,General Elective,FILM 110,"
SSK",Visual Culture in America,None
"
L",1.00,GEN EL,General Elective,GENED 010,"
",Intro University Life,None
"
L",3.00,GEN EL,General Elective,GENED 110,"
HUA",World of the Arts,None
"
L",3.00,GEN EL,General Elective,GENED 120,"
SSK",Historical Perspectives,None
"
L",3.00,GEN EL,General Elective,GENED 130,"
SSS",Individual and Society,None
"
L",3.00,GEN EL,General Elective,GENED 140,"
SSK",Global Perspectives,None
"
L",3.00,GEN EL,General Elective,GENED 150,"
NSA",Science Technol Society,None
"
L",1.00-3.00,GEN EL,General Elective,GENED 291,"
",General Education Travel Study,None
"
L",3.00,GEN EL,General Elective,GENED 390,"
HUH",World of Ideas,None
"
L",1.00,NDC,No Degree Credit,INTRAUNV 010,"
",Intro University Life,None
"
L",6.00,GEN EL,General Elective,INTRAUNV 100,"
",Engl Fund/Core Block,None
"
L",6.00-9.00,GEN EL,General Elective,INTRAUNV 101,"
",English/Core Block,None
"
L",1.00,Soc/BhvSci EL,Social & Behavioral Science Elective,INTRAUNV 104,"
SS",New Student Seminar,None
"
L",5.00,GEN EL,General Elective,INTRAUNV 161,"
",Engl & Wrtg Skll/Intl,None
"
L",3.00,GEN EL,General Elective,INTRAUNV 200,"
",Perspectives Nuclear War,None
"
L",3.00,GEN EL,General Elective,INTRAUNV 244,"
SSK",Consumers and Culture,None
"
L",3.00,PHIL 209,Business Ethics,INTRAUNV 246,"
",Business Ethics,None
"
L",5.00,GEOS 100,Earth in Perspective,GEOLGY 100,"
NSG",Principles of Geology,None
"
L",4.00,GEOS 101,Introductory Geology,GEOLGY 101,"
NSG",Elements of Geology,None
"
L",3.00,GEOS 102,Origin & History of the Earth,GEOLGY 204,"
",Earth and Life History,None
"
L",1.00,GEOS 102,Origin & History of the Earth,GEOLGY 205,"
",Historical Geology Lab,None
"
L",3.00,GEN EL,General Elective,GEOLGY 206,"
NSG",Planetary Geology,None
"
L",3.00,BUS 100,Introduction to Business,ITBE 141,"
SSB",Concepts of Business,None
"
L",2.00,GEN EL,General Elective,ITBE 143,"
",Keybrdg & Intro Doc Proc,None
"
L",3.00,GEN EL,General Elective,ITBE 241,"
",Shorthand I,None
"
L",3.00,GEN EL,General Elective,ITBE 242,"
",Note Taking,None
"
L",3.00,GEN EL,General Elective,ITBE 244,"
",Document Processing I,None
"
L",3.00,GEN EL,General Elective,ITBE 245,"
",Technology Appl Bus Tchrs,None
"
L",2.00,GEN EL,General Elective,ITBE 251,"
",Pen Lettering,None
