"
L",9.00,GEN EL,General Elective,CIFLD 200F,"
",Pre-Profess Block Sec,"

                "
"
L",1.00-3.00,GEN EL,General Elective,CIFLD 210,"
",Observation/Participation,"
8
                "
"
L",1.00-3.00,GEN EL,General Elective,CIFLD 210E,"
",Obsrv Part-Elementary,"
8
                "
"
L",1.00-3.00,GEN EL,General Elective,CIFLD 210F,"
",Obsrv Part-Secondary Educ,"
8
                "
"
L",3.00,GEN EL,General Elective,COACHING 100,"
",Wiaa Pri First Aid,"

                "
"
L",2.00,HESM 283,Orientation to Coaching,COACHING 240,"
",Introduction to Coaching,"

                "
"
L",2.00,GEN EL,General Elective,COACHING 250,"
",App Mechan Princpl Coach,"

                "
"
L",1.00,GEN EL,General Elective,COACHING 251,"
",Coach Women Athletics,"

                "
"
L",3.00,GEN EL,General Elective,COACHING 252,"
",Teach and Coach Sports Skills,"

                "
"
L",2.00,HESM 301,Sport Conditioning Prac Design,COACHING 255,"
",Conditioning Intrsch Spts,"

                "
"
L",2.00,GEN EL,General Elective,COACHING 256,"
",Psycho Social Coaching,"

                "
"
L",3.00,HESM 330,Sport in Society,COACHING 260,"
",Hist Soc Aspects Athletcs,"

                "
"
L",3.00,GEN EL,General Elective,COACHING 265,"
",Coach Comm Spon Sports,"

                "
"
L",2.00,HESM 255,Coaching Theory-Football,COACHING 350,"
",Coaching of Football,"

                "
"
L",2.00,HESM 252,Coaching Theory-Basketball,COACHING 351,"
",Coaching of Basketball,"

                "
"
L",2.00,HESM 251,Coaching Theory-Baseball,COACHING 352,"
",Coaching of Baseball,"

                "
"
L",3.00,HESM 264,Coaching Theory-Track/Field,COACHING 353,"
",Coach Track/Field/Cross Countr,"

                "
"
L",2.00,GEN EL,General Elective,COACHING 356,"
",Coaching of Wrestling,"

                "
"
L",2.00,HESM 266,Coaching Theory-Volleyball,COACHING 359,"
",Coaching of Volleyball,"

                "
"
L",2.00,HESM 259,Coaching Theory-Soccer,COACHING 360,"
",Coaching of Soccer,"

                "
"
L",2.00,HESM 260,Coaching Theory-Softball,COACHING 361,"
",Coaching of Softball,"

                "
"
L",2.00,HESM 268,Officiate Team/Dual Sport,COACHING 462,"
",Thry Tech Officiating,"

                "
"
L",0.00,GEN EL,General Elective,COMDIS 100,"
",Speech Improvement,"

                "
"
L",3.00,GEN EL,General Elective,COMDIS 210,"
",O & P Communicative Dis,"

                "
"
L",3.00,GEN EL,General Elective,COMDIS 270,"
",Intro Hum Comm and Disrdrs,"

                "
"
L",3.00,GEN EL,General Elective,COMDIS 272,"
",Phonetics & Relat Process,"

                "
"
L",3.00,GEN EL,General Elective,COMDIS 278,"
",Anat Physio Hum Comm,"

                "
"
L",3.00,GEN EL,General Elective,ACINDP 105,"
",World of the Arts,"

                "
"
L",6.00,GEN EL,General Elective,ACINDP 105A,"
",Arts 105 & Fresh Engl 102,"

                "
"
L",3.00,GEN EL,General Elective,ACINDP 150,"
",Intro Multimedia Studies,"

                "
"
L",3.00,GEN EL,General Elective,ACINDP 151,"
",Intro Multimed Aesthetics,"

                "
"
L",1.00-2.00,GEN EL,General Elective,ACINDP 200,"
",Arts Management Practicum,"
8
                "
"
L",3.00,GEN EL,General Elective,ACINDP 215,"
HUA",Fine Arts Western Culture,"

                "
"
L",3.00,ART 102,Introduction to 2-D Design,ARTSTDIO 102,"
HUA",2-Dimensional Design,"

                "
"
L",3.00,ART 103,Introduction to 3-D Design,ARTSTDIO 103,"
HUA",3-Dimensional Design,"

                "
"
L",3.00,GEN EL,General Elective,ARTSTDIO 121,"
HUA",Basic Art,"

                "
"
L",3.00,ART EL,Art Elective,ARTSTDIO 180,"
",Intro Advertising Design,"

                "
"
L",3.00,ART 122,Introduction to Drawing,ARTSTDIO 201,"
HUA",Drawing I,"

                "
"
L",3.00,ART 222,Intermediate Drawing,ARTSTDIO 202,"
",Drawing II,"

                "
"
U",3.00,GEN EL,General Elective,ARTSTDIO 213,"
HUA",Intro to Digital Photo,"

                "
"
L",3.00,GEN EL,General Elective,ARTSTDIO 221,"
HUA",Intro Studio Non-Art Majr,"

                "
"
L",3.00,GEN EL,General Elective,ARTSTDIO 222,"
",Int. Water-Based Maedia,"

                "
"
L",3.00,ART 203,Beginning Ceramics,ARTSTDIO 251,"
",Ceramics I,"

                "
"
L",3.00,ART 223,Beginning Art Metals,ARTSTDIO 271,"
",Metal and Jewelry I,"

                "
"
U",3.00,ART 323,Intermediate Art Metals,ARTSTDIO 272,"
",Metal and Jewelry II,"

                "
"
L",3.00,GEN EL,General Elective,ARTSTDIO 287,"
",Comptr Graphcs For Artist,"

                "
"
L",3.00,ART 282,Beginning Painting,ARTSTDIO 321,"
",Painting I,"

                "
"
L",3.00,ART 274,Typography I,ARTSTDIO 381,"
",Graphic Design I: Typography,"

                "
"
L",3.00,GEN EL,General Elective,AMERIND 102,"
DV, SSS",Intro Amer Indian Studies,"

                "
"
L",3.00,GEN EL,General Elective,CHICANO 150,"
DV",Introduction Chicano St,"

                "
"
L",3.00,GEN EL,General Elective,CHICANO 200,"
DV",Chican@ Literature to 1980,"

                "
"
L",3.00,GEN EL,General Elective,CHICANO 201,"
DV",Contemporary Chicano Lit,"

                "
"
L",3.00,NDC,No Degree Credit,DEVLPED 050,"
",Study/Academic Surv Skill,"
5
                "
"
L",3.00,NDC,No Degree Credit,DEVLPED 060,"
",College Literacy,"
5
                "
"
L",1.00-3.00,GEN EL,General Elective,DEVLPED 080,"
",Student Success Workshop,"
8
                "
"
L",2.00,GEN EL,General Elective,EARLYCHD 222,"
",Early Child Msc Methods,"

                "
"
L",3.00,GEN EL,General Elective,ECON 105,"
",Global Perspectives,"

                "
"
L",3.00,ECON 101,The American Economy,ECON 200,"
UCTA,SSE",The Economic World,"
22
                "
"
L",3.00,ECON 120,Principles of Microeconomics,ECON 201,"
SSE",Principles of Microeconomics,"

                "
"
L",3.00,ECON 121,Principles of Macroeconomics,ECON 202,"
SSE",Principles of Macroeconomics,"

                "
"
L",3.00,ECON 202,Principles Macroeconomics,ECON 211,"
",Econ Prin/Pblms/Policies,"

                "
"
L",3.00,ECON 201,Principles Microeconomics,ECON 212,"
",Econ Prin/Pblms/Policies,"

                "
"
L",3.00,GEN EL,General Elective,ECON 213,"
SSE",Econ Prin For Teachers,"

                "
"
L",3.00,QM 210,Business Statistics I,ECON 245,"
",Business Statistics,"

                "
"
L",1.00,GEN EL,General Elective,ECON 245A,"
",Bus Stats I-Cmptr Appltns,"

                "
"
L",4.00,GEN EL,General Elective,ECON 245C,"
",Statistics W/Computr Appl,"

                "
"
U",3.00,ECON 320,Intermediate Micro Theory,ECON 301,"
",Int Microeconomic Anlysis,"

                "
"
U",3.00,ECON 409,Econometrics,ECON 345,"
",Econometrics,"

                "
"
L",3.00,GEN EL,General Elective,EDFNDPRC 210,"
",Intro to Educ & Teaching,"

                "
"
L",3.00,GEN EL,General Elective,EDFOUND 212,"
",Educational Psychology,"

                "
"
L",1.00,GEN EL,General Elective,EDFOUND 214,"
",Portfolio Development I,"

                "
"
L",3.00,GEN EL,General Elective,EDFOUND 222,"
",Child Development,"

                "
"
L",3.00,GEN EL,General Elective,EDFOUND 243,"
",Found of Ed in Plur Soc,"

                "
"
L",2.00,GEN EL,General Elective,EDUINDP 211,"
",Intro to Early Childhd Educ,"

                "
"
L",3.00,GEN EL,General Elective,EDUINDP 212,"
",Child/Families Div Society,"

                "
"
L",3.00,GEN EL,General Elective,EDUINDP 213,"
",Develop Young Child,"

                "
"
L",3.00,GEN EL,General Elective,EDUINDP 214,"
",Observ and Reflect in Hd Strt,"

                "
"
L",3.00,GEN EL,General Elective,EDUINDP 215,"
",Art in the Early Years,"

                "
"
L",1.00,GEN EL,General Elective,EDUINDP 216,"
",Seminar: Phase 2 Portfolio,"

                "
"
L",2.00,GEN EL,General Elective,ELEMMID 215,"
",Methds Tch Art Elm/Mdl Sc,"

                "
"
L",2.00,GEN EL,General Elective,ELEMMID 223,"
",Elem School Music Methods,"

                "
"
L",2.00,GEN EL,General Elective,ELEMMID 234,"
",Elem Genrl Music Methods,"

                "
"
L",2.00,GEN EL,General Elective,ELEMMID 236,"
",Elm/Mdl Sch Instr Methods,"

                "
"
L",3.00,SPCH 105,Public Speaking,COMM 110,"
UCTA,HUT",Intro to Public Speaking,"
22
                "
"
L",3.00,COMM 108,Media and Society,COMM 131,"
SSC",Intro Mass Communication,"

                "
"
L",3.00,GEN EL,General Elective,COMM 162,"
",Debate,"

                "
"
L",3.00,GEN EL,General Elective,COMM 202,"
",Principles Public Relatns,"

                "
"
L",3.00,GEN EL,General Elective,COMM 203,"
",Publ Relations Tactics 1,"

                "
"
L",3.00,GEN EL,General Elective,COMM 204,"
",Publ Relations Tactics II,"

                "
"
L",3.00,COMM 107,Comm & Human Condition (Dv),COMM 228,"
SSC,DV",Interpersonal Communicatn,"

                "
"
L",1.00,GEN EL,General Elective,COMM 230,"
",Radio Practicum,"

                "
"
L",1.00,GEN EL,General Elective,COMM 231,"
",Practicum in Television,"

                "
"
L",3.00,GEN EL,General Elective,COMM 232,"
",Found Electronic Media,"

                "
"
L",3.00,GEN EL,General Elective,COMM 234,"
",Electronic Media Announce,"

                "
"
L",3.00,ENGL 252,Introduction to Film,COMM 236,"
",Introduction to Cinema,"

                "
"
L",3.00,GEN EL,General Elective,COMM 238,"
",Video Production I,"

                "
"
L",3.00,GEN EL,General Elective,COMM 239,"
",Audio Production I,"

                "
"
L",3.00,COMM 105,Public Speaking,COMM 240,"
SS",Public Speaking,"

                "
"
L",3.00,GEN EL,General Elective,COMM 241,"
",Elec Media Copywriting,"

                "
"
L",3.00,COMM 202,Group Communication,COMM 242,"
SSC",Comm & Team Building,"

                "
"
L",3.00,GEN EL,General Elective,COMM 244,"
SSC",Communication/Interviewng,"

                "
"
L",3.00,GEN EL,General Elective,COMM 246,"
",Elec Media Newswriting,"

                "
"
L",3.00,GEN EL,General Elective,COMM 247,"
",Intro Parliamentary Proc,"

                "
"
L",0.50-1.00,GEN EL,General Elective,COMM 260,"
",Intercollegiate Debate I,"
8
                "
"
L",0.50-1.00,GEN EL,General Elective,COMM 261,"
",Intercollegiate Debate II,"
8
                "
"
L",1.00,GEN EL,General Elective,COMM 263,"
",Practicum in Forensics,"

                "
"
L",3.00,GEN EL,General Elective,COMM 270,"
",Communication and Web Dev,"

                "
"
L",3.00,GEN EL,General Elective,COMM 271,"
",Multimedia Production Two,"

                "
"
U",3.00,GEN EL,General Elective,COMM 422,"
",Communication Theories,"

                "
"
L",3.00,COMM 209,Comm Research Methods,COMM 485,"
",Comm Research Methods,"

                "
"
L",4.00,GEN EL,General Elective,ENVSCI 200,"
NSG",Intro Environ Sci,"

                "
"
L",3.00,GEN EL,General Elective,FILM 110,"
SSK",Visual Culture in America,"

                "
"
L",2.00,GEN EL,General Elective,DANCE 110,"
",Dance Appreciation,"

                "
"
L",2.00,GEN EL,General Elective,DANCE 141,"
",Cont Dance Technique I,"

                "
"
L",2.00,GEN EL,General Elective,DANCE 142,"
",Intro Tcnqs/Improv/Cmpstn,"

                "
"
L",2.00,GEN EL,General Elective,DANCE 143,"
",Improvisation,"

                "
"
L",2.00,GEN EL,General Elective,DANCE 144,"
",Jazz Dance,"

                "
"
L",2.00,GEN EL,General Elective,DANCE 145,"
",Ballet I,"

                "
"
L",1.00,GEN EL,General Elective,DANCE 200,"
",Pract-Dance Performance,"

                "
"
L",2.00,GEN EL,General Elective,DANCE 243,"
",Improvisation/Sound,"

                "
"
L",2.00,GEN EL,General Elective,DANCE 244,"
",Contemp Dance Tech II,"

                "
"
L",2.00,GEN EL,General Elective,DANCE 245,"
",Contmp Dance Tech III,"

                "
"
L",2.00,GEN EL,General Elective,DANCE 246,"
",Ballet II,"

                "
"
L",2.00,GEN EL,General Elective,DANCE 248,"
",Dance Composition I,"

                "
"
L",3.00,GEN EL,General Elective,DANCE 249,"
",Dance Composition II,"

                "
"
U",3.00,BUS 372,Business Law,FNBSLW 342,"
",Adv Bus & Commercial Law,"

                "
"
U",3.00,FIN 330,Managerial Finance,FNBSLW 344,"
",Business Finance,"

                "
"
L",4.00,GEN EL,General Elective,FORNLANG 101,"
",Beginning Japanese I,"

                "
"
L",4.00,GEN EL,General Elective,FORNLANG 102,"
",Beginning Japanese II,"

                "
"
L",4.00,GEN EL,General Elective,FORNLANG 103,"
",Beginning Japanese III,"

                "
"
L",4.00,GEN EL,General Elective,FORNLANG 141,"
",Beginning Chinese,"

                "
"
L",4.00,GEN EL,General Elective,FORNLANG 142,"
",Beginning Chinese,"

                "
"
L",4.00,GEN EL,General Elective,FORNLANG 201,"
",Intermediate Japanese I,"

                "
"
",3.00,DNT,Does Not Transfer,ENGLISH 090,"
",Fundamentals of English,"
20
                "
"
",2.00,NDC,No Degree Credit,ENGLISH 091,"
",Written Communications,"
5
                "
"
L",3.00,ENGL 100,Fundamentals of English,ENGLISH 101,"
UCTA,",College Writing & Reading,"
22
                "
"
L",3.00,ENGL 101,Composition and Reading,ENGLISH 102,"
UCTA,RWS",Writing/Reading/Research,"
22
                "
"
L",3.00,ENGL 101,Composition and Reading,ENGLISH 105,"
UCTA,RWS",Freshman English Honors,"
22
                "
"
L",4.00,ENGL EL,English Elective,ENGLISH 161,"
",Adv Acad Reading in Esl,"

                "
"
L",4.00,ENGL EL,English Elective,ENGLISH 162,"
",College Wrtg Engl As Sec Lang,"

                "
"
L",3.00,ENGL 267,Literature of Diversity: (Dv),ENGLISH 200,"
HUE,DV",Chican@ Lit: to 1980,"

                "
"
L",3.00,ENGL 267,Literature of Diversity: (Dv),ENGLISH 201,"
HUE,DV",Contemporary Chicano Lit,"

                "
"
L",3.00,ENGL EL,English Elective,ENGLISH 204,"
HUE",Creative Writing II,"

                "
"
L",0.00,ENGL EL,English Elective,ENGLISH 205,"
HUE",Literary Magazines,"

                "
"
L",3.00,ENGL 216,British Literature to 1800,ENGLISH 206,"
",British Lit Survey I,"

                "
"
L",3.00,ENGL 217,"British Literature, 1800-1920",ENGLISH 216,"
HU",British Lit Survey II,"

                "
"
L",3.00,ENGL 226,American Literature to 1855,ENGLISH 226,"
",American Lit Survey I,"

                "
"
L",3.00,GEN EL,General Elective,ENGLISH 234,"
HUE",Shakespeare/Non-Engl Majr,"

                "
"
L",3.00,ENGL 227,"American Literature, 1855-1920",ENGLISH 236,"
HU",Am Literature II,"

                "
"
U",3.00,ENGL 464,Studies in Cultural Trends:,ENGLISH 251,"
",Class Myth/Lgnd Srce Lit,"

                "
"
U",3.00,ENGL 368,The Bible As Literature,ENGLISH 252,"
",The Bible As Literature,"

                "
"
L",3.00,ENGL 246,Survey of  World Literature,ENGLISH 256,"
",World Lit I: Anc Tms-Ren,"

                "
"
L",3.00,ENGL 247,Survey of Modern World Lit,ENGLISH 257,"
",World Lit II: Neocl-Modrn,"

                "
"
L",3.00,ENGL 267,Literature of Diversity: (Dv),ENGLISH 258,"
",Wrld Lit Chna India Japan,"

                "
"
U",3.00,ENGL 332,Modern & Contemp Novel,ENGLISH 263,"
",The Contemporary Novel,"

                "
"
L",3.00,ENGL 269,Introduction to Women Writers:,ENGLISH 264,"
",The West Trad Before 1665,"

                "
"
L",3.00,ENGL 267,Literature of Diversity: (Dv),ENGLISH 265,"
HUE,DV",Multicultural Lit of US,"

                "
"
L",3.00,ENGL 266,Literary Analysis,ENGLISH 271,"
",Crit Writing in English,"

                "
"
L",3.00,ENGL 206,Creative Writing: Poetry,ENGLISH 274,"
",Creative Writng,"

                "
"
U",3.00,ENGL 387,Linguistics,ENGLISH 281,"
",Intro Language Study,"

                "
"
U",3.00,ENGL EL,English Elective,ENGLISH 310,"
",Lit For Adolescents,"

                "
"
L",3.00,ENGL 237,Modrn/Contemp Lit 1920-Present,ENGLISH 322,"
HU",Modern Western Literature,"

                "
"
U",3.00,ENGL EL,English Elective,ENGLISH 360,"
",20th-C British Lit,"

                "
"
L",3.00,ENGL 247,Survey of Modern World Lit,ENGLISH 363,"
",Am Lit in Postmodern Age,"

                "
"
U",3.00,ENGL 320,Shakespeare,ENGLISH 404,"
",Shakespeare,"

                "
"
U",3.00,ENGL EL,English Elective,ENGLISH 483,"
",Controversies in Criticism,"

                "
"
L",1.00,GEN EL,General Elective,GENED 010,"
",Intro University Life,"

                "
"
L",3.00,GEN EL,General Elective,GENED 110,"
HUA",World of the Arts,"

                "
"
L",3.00,GEN EL,General Elective,GENED 120,"
SSK",Historical Perspectives,"

                "
"
L",3.00,GEN EL,General Elective,GENED 130,"
SSS",Individual and Society,"

                "
"
L",3.00,GEN EL,General Elective,GENED 140,"
SSK",Global Perspectives,"

                "
"
L",3.00,GEN EL,General Elective,GENED 150,"
NSA",Science Technol Society,"

                "
"
L",1.00-3.00,GEN EL,General Elective,GENED 291,"
",General Education Travel Study,"
8
                "
"
L",3.00,GEN EL,General Elective,GENED 390,"
HUH",World of Ideas,"

                "
"
L",1.00,GEN EL,General Elective,GEOGRPY 100,"
",Introduction to Geography,"

                "
"
L",3.00,GEOG 105,Contemporary Human Geography,GEOGRPY 105,"
SSG",Global Perspectives,"

                "
"
L",3.00,GEN EL,General Elective,GEOGRPY 111,"
",Geographical Foundations,"

                "
"
L",3.00,GEOG 110,Intro to Geog: World Regions,GEOGRPY 160,"
SSG",World Geography,"

                "
"
L",5.00,GEOG 100,Physical Geog & the Environmnt,GEOGRPY 210,"
NSD",Physical Geography,"

                "
"
L",3.00,GEOG 105,Contemporary Human Geography,GEOGRPY 230,"
SSG",Human Geography,"

                "
"
U",3.00,GEOG 315,Geography of Wisconsin,GEOGRPY 250,"
",Geography of Wisconsin,"

                "
"
L",3.00,GEN EL,General Elective,GEOGRPY 252,"
SSG",Glbl Environ Challenges,"

                "
"
U",3.00,GEOG 310,Geography of the U.S. & Canada,GEOGRPY 261,"
",Geography Canada/U.S.,"

                "
"
U",3.00,GEOG 350,Cartography and Gis,GEOGRPY 270,"
",Gis I: Intro to Gis/Maps,"

                "
"
L",3.00,GEN EL,General Elective,GEOGRPY 275,"
",Geog Concepts For Teacher,"

                "
"
U",3.00,GEOG 300,Geographic Methods,GEOGRPY 290,"
",Spatial Analysis,"

                "
"
L",2.00,GEN EL,General Elective,HEALTHED 181,"
",Contemporary Health,"

                "
"
L",1.00,GEN EL,General Elective,HEALTHED 245,"
",Intro to Health Issues,"

                "
"
L",3.00,GEN EL,General Elective,HEALTHED 280,"
",Qual Life & Health Promo,"

                "
"
L",3.00,HESM 271,Lifetime Wellness Lab:,HEALTHED 360,"
SS",Current Topics in Hlth & Well,"

                "
"
L",4.00,GER 103,Introductory German I,GERMAN 141,"
",Beginning German,"

                "
"
L",4.00,GER 104,Introductory German II,GERMAN 142,"
",Beginning German,"

                "
"
L",4.00,GER 203,Intermediate German I,GERMAN 251,"
",Intermediate German,"

                "
"
L",4.00,GER 204,Intermediate German II,GERMAN 252,"
",Intermediate German,"

                "
"
L",3.00,GEN EL,General Elective,GERMAN 260,"
",German Phonetics,"

                "
"
U",3.00,GEN EL,General Elective,GERMAN 310,"
",German Phonetics,"

                "
"
L",3.00,GEN EL,General Elective,HISTRY 102,"
",Intro to Amer Indian Studies,"

                "
"
L",3.00-4.00,GEN EL,General Elective,HISTRY 105,"
SSJ",West Civ  Anc Times to  Renais,"
8
                "
"
L",3.00,GEN EL,General Elective,HISTRY 120,"
DV, SSJ","Erpe & Modrn World,1815 Pres","

                "
"
L",3.00,HIST 101,U.S.: Origins-Reconstruction,HISTRY 124,"
SSJ",American History to 1877,"

                "
"
L",3.00,HIST 102,U.S.: Reconstuctn-Recent Times,HISTRY 125,"
SSJ",American History Since 1877,"

                "
"
L",3.00,HIST EL,History Elective,HISTRY 130,"
SSJ",East Asian Tradition,"

                "
"
L",3.00,HIST 251,Modernization-East Asia,HISTRY 131,"
",East Asia Since 1800,"

                "
"
L",3.00,GEN EL,General Elective,HISTRY 140,"
SSJ",Intro Latin Amer History,"

                "
"
L",3.00,HIST EL,History Elective,HISTRY 141,"
DV, SSJ",Modern Black Amer History,"

                "
"
L",3.00,GEN EL,General Elective,HISTRY 150,"
",Atlantic History,"

                "
"
L",3.00,HIST 118,West Civ I: Antiquity to 1300,HISTRY 154,"
",Western Civilization,"

                "
"
L",3.00,HIST 119,West Civ II: Midl Ages to 1815,HISTRY 155,"
SSJ",History of Modern Europe,"

                "
"
L",3.00,HIST EL,History Elective,HISTRY 165,"
",Hist Western Science,"

                "
"
L",3.00,HIST EL,History Elective,HISTRY 190,"
SSJ",N Am Environ History,"

                "
"
U",3.00,HIST 350,Historiography and Historians,HISTRY 200,"
",Historical Methods,"

                "
"
L",2.00,HIST 250,Sources and Methods in History,HISTRY 201,"
",Study History: Research,"

                "
"
U",3.00,SS-HIST EL,Soc Sciences - History Elective,HISTRY 313,"
SSJ",Women Amer Hist I,"

                "
"
U",3.00,SS-HIST EL,Soc Sciences - History Elective,HISTRY 314,"
SSJ",Women in Amer Hist 1875-Presen,"

                "
"
U",3.00,HIST EL,History Elective,HISTRY 364,"
",Modern Europe Women Hist,"

                "
