description,title,course,prerequisite,department,unit
"Meeting and Event Management,This course explores the meetings industry, including association, corporation, and government meetings.  Students also examine conventions, trade shows, incentive travel and special events.",Meeting and Event Management,MEDIA 5800,None,"Bus, Inds, Life Sci, Ag",3
"Seminar Paper Research,The seminar paper or educational project need not be a report of original and independent research. It must demonstrate, however, the student's ability to survey a field of knowledge and assemble, organize, evaluate, interpret, and present evidence in a logical and intelligent manner. Although the seminar paper or educational project may originate from work done in connection with one of the student's graduate courses and be based upon a term paper or course project, it must be more comprehensive and complete in coverage and treatment.  In consultation with the program advisor, the student proposes a seminar paper or educational project and a seminar paper or educational project advisor.  An approved seminar paper or educational project proposal must be submitted and approved prior to registration.  There is a website with useful links to guide the graduate student in grammar, style, evaluating web resources, and formats. The seminar paper or educational project advisor will provide guidance regarding the site. The site may be accessed through the University's Karrmann Library.",Seminar Paper Research,MUSIC 7920,None,Liberal Arts and Education,1 - 2
"Independent Study in Music,The amount of graduate credit allowed for independent study may not exceed a total of four credits except with the special permission of the student's advisor and the graduate dean. Approval must be secured before independent study courses are begun. Students registering for independent study must submit at or before registration a description signed by the instructor conducting the independent study of the subject to be covered. Independent study may not be used for collecting information for the seminar paper.",Independent Study in Music,MUSIC 7980,None,Liberal Arts and Education,1 - 4
"Thesis Research,The thesis may be an outgrowth of a research course (e.g. TEACHING 7000 Research Procedures) or may be developed independently within the program area. The thesis will report the results of original and independent student research on a given problem or topic, by systematic and impartial methods, and will demonstrate the student's ability to use techniques customarily employed in the particular field of investigation. Although a thesis for the master's degree may not always be expected to make a significant contribution to existing knowledge, it should be a scholarly document that is accurate, verifiable, objective, and impartial.  In consultation with the program advisor, the student proposes a committee of three faculty members. The committee normally includes the thesis advisor, one additional major department member, and one faculty member from another department. In some instances, a student may prefer a thesis advisor who is different from the program advisor assigned at the time of admission.  An approved thesis proposal must be submitted and approved prior to registration.  There is a website with useful links to guide the graduate student in grammar, style, evaluating web resources, and formats. (Thesis students will find the Texas A and M link useful for formatting procedures and other technical assistance.) The thesis advisor will provide guidance regarding the site. The site may be accessed through the University's Karrmann Library.",Thesis Research,MUSIC 7990,None,Liberal Arts and Education,3 - 6
"Independent Study in Agriculture,The amount of graduate credit allowed for independent study may not exceed a total of four credits except with the special permission of the student's advisor and the graduate dean. Approval must be secured before independent study courses are begun. Students who register for independent study must submit at or before registration a description signed by the instructor conducting the independent study of the subject to be covered. Independent study may not be used for collecting information for the seminar paper.",Independent Study in Agriculture,AGSCI 7980,None,"Bus, Inds, Life Sci, Ag",1 - 4
"Seminar Paper Research,The seminar paper or educational project need not be a report of original and independent research. It must demonstrate, however, the student's ability to survey a field of knowledge and assemble, organize, evaluate, interpret, and present evidence in a logical and intelligent manner. Although the seminar paper or educational project may originate from work done in connection with one of the student's graduate courses and be based upon a term paper or course project, it must be more comprehensive and complete in coverage and treatment.,
In consultation with the program advisor, the student proposes a seminar paper or educational project and a seminar paper or educational project advisor.  An approved seminar paper or educational project proposal must be submitted and approved prior to registration.,
There is a website with useful links to guide the graduate student in grammar, style, evaluating web resources, and formats. The seminar paper or educational project advisor will provide guidance regarding the site. The site may be accessed through the University's Karrmann Library.",Seminar Paper Research,AGSCI 7920,None,"Bus, Inds, Life Sci, Ag",1 - 2
"Ethnic Rights and Politics,(Offered under ETHNSTDY 5720 AND POLISCI 5730.) Changing patterns of ethnic, gender, and race relations; legislative and judicial developments affecting civil rights; political movements; political, social, and economic discrimination; judicial system and legal protection for civil rights. Women and other minorities.",Ethnic Rights and Politics,POLISCI 5730,ETHNSTDY 5720,Liberal Arts and Education,3
"Thesis Research,The thesis may be an outgrowth of a research course (e.g. TEACHING 7000 Research Procedures) or may be developed independently within the program area. The thesis will report the results of original and independent student research on a given problem or topic, by systematic and impartial methods, and will demonstrate the student's ability to use techniques customarily employed in the particular field of investigation. Although a thesis for the master's degree may not always be expected to make a significant contribution to existing knowledge, it should be a scholarly document that is accurate, verifiable, objective, and impartial.  In consultation with the program advisor, the student proposes a committee of three faculty members. The committee normally includes the thesis advisor, one additional major department member, and one faculty member from another department. In some instances, a student may prefer a thesis advisor who is different from the program advisor assigned at the time of admission.  An approved thesis proposal must be submitted and approved prior to registration.  There is a website with useful links to guide the graduate student in grammar, style, evaluating web resources, and formats. (Thesis students will find the Texas A and M link useful for formatting procedures and other technical assistance.) The thesis advisor will provide guidance regarding the site. The site may be accessed through the University's Karrmann Library.",Thesis Research,AGSCI 7990,None,"Bus, Inds, Life Sci, Ag",3 - 6
"The Judicial Process,The American judicial process, trial and appellate courts as well as the role of the U.S. Supreme Court. A comparison of the Anglo-American judicial system with that of continental Europe.",The Judicial Process,POLISCI 5520,None,Liberal Arts and Education,3
"Study and Research in Political Science,Supervised individual or team study and investigation of a selected topic.",Study and Research in Political Science,POLISCI 6720,None,Liberal Arts and Education,1 - 3
"Constitutional Law,Constitutional law and political process, judicial review, civil liberties, rights and responsibilities, the role of the Supreme Court in the educational environment and student rights.",Constitutional Law,POLISCI 6420,None,Liberal Arts and Education,3
"Seminar in Selected Topics in Political Science,Presentation of a selected topic normally not of a permanent nature or suitable for a regular course. Besides regular class presentations by students and examinations, a term paper is required.",Seminar in Selected Topics in Political Science,POLISCI 6760,None,Liberal Arts and Education,1 - 3
"Independent Study in Political Science,The amount of graduate credit applied toward a master's degree may not exceed a total of four credits except with the special permission of the student's advisor, the program head, and the Dean of The School of Graduate Studies. Approval must be secured before independent study courses begin. Students registering for independent study must submit at or before registration an approved independent study proposal form. This form must be signed by the instructor conducting the independent study, the department chairperson, the Dean of the School of Graduate Studies, and the student. Independent study may not be used for collecting information for the seminar paper.  Students enrolling for independent study may obtain an independent study proposal form and instruction sheet from the School of Graduate Studies Office online at www.uwplatt.edu/gradstudies/independentstudy.html.  A student may register for more than the maximum number of independent study credits allowed by a subject area. However, the student may only apply the maximum number of independent study credits allowed by a subject area toward a master's degree at the University of Wisconsin-Platteville.",Independent Study in Political Science,POLISCI 7980,None,Liberal Arts and Education,1 - 4
"Independent Study in Physics,Study of special topics and/or development of special projects having department approval.",Independent Study in Physics,PHYSICS 6990,None,"Engineering, Math and Science",1 - 4
"Seminar Paper Research,The seminar paper or educational project need not be a report of original and independent research. It must demonstrate, however, the student's ability to survey a field of knowledge and assemble, organize, evaluate, interpret, and present evidence in a logical and intelligent manner. Although the seminar paper or educational project may originate from work done in connection with one of the student's graduate courses and be based upon a term paper or course project, it must be more comprehensive and complete in coverage and treatment.  In consultation with the program advisor, the student proposes a seminar paper or educational project and a seminar paper or educational project advisor.  An approved seminar paper or educational project proposal must be submitted and approved prior to registration.  There is a website with useful links to guide the graduate student in grammar, style, evaluating web resources, and formats. The seminar paper or educational project advisor will provide guidance regarding the site. The site may be accessed through the University's Karrmann Library.",Seminar Paper Research,PHYSICS 7920,None,"Engineering, Math and Science",1 - 2
"Civil Liberties,Law and power and their abuses; law and power in relation to war on crime, deviance, freedom of religion, expression, and civil disobedience; criminal and civil cases; group action.",Civil Liberties,POLISCI 5830,None,Liberal Arts and Education,3
"Environmental Conservation,The importance of natural resources to the national interest; current problems of resource allocation and use. P: 6 credits of laboratory science. P: GEOGRPHY 1330, or consent of instructor.",Environmental Conservation,GEOGRPHY 5330,None,Liberal Arts and Education,3
"Thesis Research,The thesis may be an outgrowth of a research course (e.g. TEACHING 7000 Research Procedures) or may be developed independently within the program area. The thesis will report the results of original and independent student research on a given problem or topic, by systematic and impartial methods, and will demonstrate the student's ability to use techniques customarily employed in the particular field of investigation. Although a thesis for the master's degree may not always be expected to make a significant contribution to existing knowledge, it should be a scholarly document that is accurate, verifiable, objective, and impartial.  In consultation with the program advisor, the student proposes a committee of three faculty members. The committee normally includes the thesis advisor, one additional major department member, and one faculty member from another department. In some instances, a student may prefer a thesis advisor who is different from the program advisor assigned at the time of admission.  An approved thesis proposal must be submitted and approved prior to registration.  There is a website with useful links to guide the graduate student in grammar, style, evaluating web resources, and formats. (Thesis students will find the Texas A and M link useful for formatting procedures and other technical assistance.) The thesis advisor will provide guidance regarding the site. The site may be accessed through the University's Karrmann Library.",Thesis Research,PHYSICS 7990,None,"Engineering, Math and Science",3 - 6
"Independent Study in Geography,The amount of graduate credit allowed for independent study may not exceed a total of four credits except with the special permission of the student's advisor and the graduate dean. Approval must be secured before independent study courses are begun. Students registering for independent study must submit at or before registration a description signed by the instructor conducting the independent study of the subject to be covered. Independent study may not be used for collecting information for the seminar paper.",Independent Study in Geography,GEOGRPHY 7980,None,Liberal Arts and Education,1 - 4
"Techniques of Counseling and Psychotherapy,Survey of procedures used by psychologists, including counseling, psychotherapy, and limited psychodiagnostics. Practice procedures and applications are also emphasized. P: Nine credits in the behavioral sciences.",Techniques of Counseling and Psychotherapy,PSYCHLGY 6930,None,Liberal Arts and Education,3
"Advanced Techniques of Counseling and Psychotherapy,This course provides students opportunities to expand, implement, and refine counseling skills. It affords opportunities for students to learn more advanced techniques as well as practice basic counseling skills. The course covers processes of counseling, ethical considerations, theoretical applications, and special populations. P: PSYCHLGY 4930 or PSYCHLGY 6930 or COUNSPSY 7020.",Advanced Techniques of Counseling and Psychotherapy,PSYCHLGY 6940,None,Liberal Arts and Education,3
"Psychology of Adulthood and Aging,The purpose of this course is to provide a general introduction to the multi-disciplinary field of gerontology and examine the biological, social and psychological dimensions of adult development. While the primary focus is on an examination of the theoretical and empirical research on the aging process, students will also have the opportunity to be exposed to aging from an experiential perspective. P: PSYCHLGY 1130 or equivalent.",Psychology of Adulthood and Aging,PSYCHLGY 5990,None,Liberal Arts and Education,3
"Supervised Independent Study,For advanced students who wish to further acquaint themselves with German literature, civilization, or linguistics; thesis type report and examination; number of credits to be determined at the beginning of the course. By special permission.",Supervised Independent Study,GERMAN 6250,None,Liberal Arts and Education,1 - 4
"Seminar Paper Research,The seminar paper or educational project need not be a report of original and independent research. It must demonstrate, however, the student's ability to survey a field of knowledge and assemble, organize, evaluate, interpret, and present evidence in a logical and intelligent manner. Although the seminar paper or educational project may originate from work done in connection with one of the student's graduate courses and be based upon a term paper or course project, it must be more comprehensive and complete in coverage and treatment.  In consultation with the program advisor, the student proposes a seminar paper or educational project and a seminar paper or educational project advisor.  An approved seminar paper or educational project proposal must be submitted and approved prior to registration.  There is a website with useful links to guide the graduate student in grammar, style, evaluating web resources, and formats. The seminar paper or educational project advisor will provide guidance regarding the site. The site may be accessed through the University's Karrmann Library.",Seminar Paper Research,PSYCHLGY 7920,None,Liberal Arts and Education,1 - 2
"Graduate Practicum in Psychology,Enhancement of educational experience through placement with an agency, business, industry, or institution.  The nature of the experience, type, requirements, number of credits, and evaluation procedures are agreed upon beforehand between the student, the faculty member, and the site supervisor.  Students may be asked to agree to and pay for a background check if the agency requires it.  P: Minimum of 12 graduate credits and recommendation of two graduate faculty members.",Graduate Practicum in Psychology,PSYCHLGY 7440,None,Liberal Arts and Education,1 - 4
"Contemporary Issues in Psychology,This course provides students an opportunity to explore the current issues of academic and applied psychology through research and discussion. May be taken more than once if topic is different.  P: PSYCHLGY 1130 and other prerequisites as appropriate to the topic.",Contemporary Issues in Psychology,PSYCHLGY 6020,None,Liberal Arts and Education,1 - 3
"Foreign Languages Travel Abroad Seminar,A seminar with emphasis on language, literature, and culture. Non-language students may take this course in English translation for credit in humanities but not receive any foreign language credit. Students travel under supervision and receive from one to four credits in German-or in translated literature for non-language students. Number of credits depends on the duration of exposure, the amount of reading, and the quantity of written work. Non-language students should consult the Humanities department chair.",Foreign Languages Travel Abroad Seminar,GERMAN 5000,None,Liberal Arts and Education,1 - 4
"Special Problems,Supervised reading on selected economic problems.",Special Problems,ECONOMIC 6940,None,Liberal Arts and Education,1 - 4
"Technical Writing,Technical description and explanation, job applications, business correspondence, and reports suited to one's major (e.g., a criminal or safety investigation, feasibility study, or grant proposal); oral presentations; technical editing. Emphasis on clarity, conciseness, precision, and effective communication with lay audiences and management.  P: ENGLISH 1130 and ENGLISH 1230. Every Fall and Spring.",Technical Writing,ENGLISH 5000,None,Liberal Arts and Education,3
"SUBSTANCE ABUSE ASSESSMENT AND TREATMENT,This course is an overview of various types of substance and behavioral addictions and resulting characteristics and behavior patterns of the addicted individual. Emphasis is on etiology, assessment and evidence-based, multi-disciplinary treatment models and methods.",SUBSTANCE ABUSE ASSESSMENT AND TREATMENT,PSYCHLGY 7040,None,Liberal Arts and Education,3
"Assessment and Diagnosis of Psychopathology,This course presents an overview of the scientific understanding of the perspectives, patterns, and characteristics of psychopathology as they relate to assessment and diagnosis.  The responsibility of mental health workers to facilitate client growth in a way which conveys respect, preserves dignity, and displays integrity will be discussed.",Assessment and Diagnosis of Psychopathology,PSYCHLGY 7010,None,Liberal Arts and Education,3
"Language and Culture,Examines the theoretical and practical relationship between language and selected social and cultural aspects of human life. Discusses contiguities of linguistic and cultural practices; examines how particular language practices create and maintain social structures, and how discourse reflects social structures and cultural values.  P: ENGLISH 1130 and ENGLISH 1230.  Alternate Fall.",Language and Culture,ENGLISH 5260,None,Liberal Arts and Education,3
"Grammar in Context,Attention given to both traditional and modern (functional) grammar, including the parts of speech, phrases, clauses, sentence patterns, and their combinations into a variety of sentence types and paragraph patterns. Practical application of grammatical concepts in a writing- and reading-intensive environment, with attention to the logic of punctuation and conventional mechanics. P: ENGLISH 1130 and ENGLISH 1230. Every Fall.",Grammar in Context,ENGLISH 5940,None,Liberal Arts and Education,3
"Topics in Language, Literature, or Writing,A critical examination of one area of language, literature or writing. The themes vary; therefore, this course may be taken more than once for credit, provided the content is different each time. P: ENGLISH 1130 and ENGLISH 1230.  Offered occasionally.","Topics in Language, Literature, or Writing",ENGLISH 5990,None,Liberal Arts and Education,3
"Methods of Teaching English as a Second Language,Examines the characteristics of second language acquisition and how they influence the effectiveness of different methods of teaching English as a Second Language. Includes teacher/learner characteristics and strategies, teaching varieties of language, review of methodologies, communicative competence, and syllabus design.  P: ENGLISH 1130 and ENGLISH 1230.  Every Fall.",Methods of Teaching English as a Second Language,ENGLISH 6670,None,Liberal Arts and Education,3
"Literature for TESOL Teachers,An examination of the ways literature can most effectively be used to improve students' linguistic, sociolinguistic and discourse competence in a TESOL setting.  Using the textbooks and online materials, students will be asked to develop (1) a corpus of literary selections suitable for the ESL/EFL context, and (2) specific lesson plans focusing on the literatures of specific cultural groups within the United States and other post-colonial English-speaking countries.",Literature for TESOL Teachers,ENGLISH 7250,None,Liberal Arts and Education,3
"Sociolinguistics and Language Teaching,The goal is to become well informed regarding aspects of sociolinguistics at both the micro and macro levels.  Thus, there will be a focus on language attitudes, motivation, societal multilingualism, world Englishes, language planning, language policies, ""prestige"" languages, language and variation, and regional and social variation.  Likewise, the role of language will be examined via features such as Pidgin and Creole language, language and gender, language and culture, and ethnography of communication and literacy.  Emphasis will be given to the range of linguistic, interactional, and cultural knowledge that users must have in order to communicate in particular contexts.  We will also emphasize how language is influenced by education.  Moreover, certain aspects of social linguistics will be analyzed with regard to how they can be used in teaching English as a second language.",Sociolinguistics and Language Teaching,ENGLISH 7260,None,Liberal Arts and Education,3
"Methods of Teaching English as a Second Language,This course provides an overview of major issues surrounding teaching English as a second or foreign language.  It prepares students with approaches, methods, resources, and practical experience needed to teach English in the Chinese context.",Methods of Teaching English as a Second Language,ENGLISH 7670,None,Liberal Arts and Education,3
"Independent Study in English,The amount of graduate credit allowed for independent study may not exceed a total of four credits except with the special permission of the student's advisor and the graduate dean. Approval must be secured before independent study courses are begun. Students registering for independent study must submit at or before registration a description signed by the instructor conducting the independent study of the subject to be covered. Independent study may not be used for collecting information for the seminar paper.",Independent Study in English,ENGLISH 7910,None,Liberal Arts and Education,1 - 4
"Seminar Paper Research,The seminar paper or educational project need not be a report of original and independent research. It must demonstrate, however, the student's ability to survey a field of knowledge and assemble, organize, evaluate, interpret, and present evidence in a logical and intelligent manner. Although the seminar paper or educational project may originate from work done in connection with one of the student's graduate courses and be based upon a term paper or course project, it must be more comprehensive and complete in coverage and treatment.  In consultation with the program advisor, the student proposes a seminar paper or educational project and a seminar paper or educational project advisor.  An approved seminar paper or educational project proposal must be submitted and approved prior to registration.  There is a website with useful links to guide the graduate student in grammar, style, evaluating web resources, and formats. The seminar paper or educational project advisor will provide guidance regarding the site. The site may be accessed through the University's Karrmann Library.",Seminar Paper Research,ENGLISH 7920,None,Liberal Arts and Education,1 - 2
"Independent Study in Psychology,The amount of graduate credit allowed for independent study may not exceed a total of four credits. Approval must be secured before independent study courses are begun. Students registering for independent study must submit at or before registration a description signed by the instructor conducting the independent study of the subject to be covered. Independent study may not be used for collecting information for the seminar paper.",Independent Study in Psychology,PSYCHLGY 7980,None,Liberal Arts and Education,1 - 4
"Abnormal Psychology,Psychology of abnormal behavior; biological and social factors in the genesis of behavioral, emotional, and personality disorders. Brain disorders, psychoses, and substance abuse are also presented and discussed. P: PSYCHLGY 1130 or equivalent.",Abnormal Psychology,PSYCHLGY 6430,None,Liberal Arts and Education,3
"Ethnic Rights and Politics,(Offered under ETHNSTDY 5720 AND POLISCI 5730.) Changing patterns of ethnic, gender, and race relations; legislative and judicial developments affecting civil rights; political movements; political, social, and economic discrimination; judicial system and legal protection for civil rights. Women and other minorities.",Ethnic Rights and Politics,POLISCI 5730,ETHNSTDY 5720,Liberal Arts and Education,3
"Independent Study in Ethnic Studies,The amount of graduate credit allowed for independent study may not exceed a total of four credits except with the special permission of the student's advisor and the graduate dean. Approval must be secured before independent study courses are begun. Students registering for independent study must submit at or before registration a description signed by the instructor conducting the independent study of the subject to be covered. Independent study may not be used for collecting information for the seminar paper.",Independent Study in Ethnic Studies,ETHNSTDY 7980,None,Liberal Arts and Education,1 - 4
"Artificial Intelligence,A study of knowledge representation, search techniques, expert systems, predicate calculus, and natural languages.  Discussion of the successes and limitations of past and current AI programs.  Programming assignments in LISP and Prolog illustrate formal topics.  P: COMPUTER 2630 and MATH 2730.",Artificial Intelligence,COMPUTER 5030,None,"Engineering, Math and Science",3
"Object-Oriented Analysis and Design,Requirements engineering, analysis, and specification using the object-oriented paradigm.  Object-oriented architectural and detailed design.  Use of an OOA&D modeling language such as UML.  Investigation of OOA&D patterns. Moderate size, group project.  P:  SOFTWARE 2730 and COMPUTER 2430.",Object-Oriented Analysis and Design,COMPUTER 5430,None,"Engineering, Math and Science",3
"Programming Language Structures,A study of programming language topics which include data objects, data types, storage management, syntax, BNF descriptions, semantics, lexical analysis and parsing.  Examples taken from traditional languages as well as more modern languages.  P: COMPUTER 2630, Object-oriented Programming and Data Structures II.",Programming Language Structures,COMPUTER 5520,None,"Engineering, Math and Science",3
"Ethnic and Gender Equity in Education,Develops appreciation, understanding, and awareness of ethnic issues; such as ethnic, class, and gender issues in the educational process and in society. Considers equity issues through research, historical, philosophical, sociological, and psychological perspectives and the implications that each arena has on the lives of all of us.",Ethnic and Gender Equity in Education,ETHNSTDY 5630,None,Liberal Arts and Education,3
"Thesis Research,The thesis may be an outgrowth of a research course (e.g. TEACHING 7000 Research Procedures) or may be developed independently within the program area. The thesis will report the results of original and independent student research on a given problem or topic, by systematic and impartial methods, and will demonstrate the student's ability to use techniques customarily employed in the particular field of investigation. Although a thesis for the master's degree may not always be expected to make a significant contribution to existing knowledge, it should be a scholarly document that is accurate, verifiable, objective, and impartial.  In consultation with the program advisor, the student proposes a committee of three faculty members. The committee normally includes the thesis advisor, one additional major department member, and one faculty member from another department. In some instances, a student may prefer a thesis advisor who is different from the program advisor assigned at the time of admission.  An approved thesis proposal must be submitted and approved prior to registration.  There is a website with useful links to guide the graduate student in grammar, style, evaluating web resources, and formats. (Thesis students will find the Texas A and M link useful for formatting procedures and other technical assistance.) The thesis advisor will provide guidance regarding the site. The site may be accessed through the University's Karrmann Library.",Thesis Research,PSYCHLGY 7990,None,Liberal Arts and Education,3 - 6
"Software Quality,Study of topics related to producing quality software, including software quality assurance, quality metrics, configuration management, verification and validation, reviews, inspections, audits, and software process improvement models.  Individual and team projects.  P: COMPUTER 2630 and SOFTWARE 2730.",Software Quality,Graduate Course,Main Campus,COMPUTER 5730,3
"Computer Graphics,An introduction to computer graphics including raster hardware, standard graphics software packages and important algorithms such as window-to-viewport mapping; clipping of lines, characters and polygons; 2D and 3D transformations and hidden line/surface removal.  P: COMPUTER 2630 and MATH 3230.",Computer Graphics,COMPUTER 5920,None,"Engineering, Math and Science",3
"Web Protocols, Technologies and Applications,This course will introduce the students to protocols and technologies in Web Applications and Web Services.  The Client/Server concept and some advanced database concepts will also be covered.  The emphasis of the course will be using tools such as ASP.NET for rapid development of Web Applications and Web Services.  P: COMPUTER 3340; C: COMPUTER 3630.","Web Protocols, Technologies and Applications",COMPUTER 5870,None,"Engineering, Math and Science",3
"Special Topics in Computer Science,The subject matter and instructor for each instance of this class will be listed in the class schedule.  Students should check with the instructor for details.",Special Topics in Computer Science,COMPUTER 6830,None,"Engineering, Math and Science",1 - 3
"Software Project I,Participation in a semester-long, group software development group project, typically at the student's home university.  Software engineering techniques and principles will be applied in the development of the project.  P: COMPUTER 2630 and SOFTWARE 2730.",Software Project I,COMPUTER 7120,None,"Engineering, Math and Science",2
