prerequisites,course,description,unit,title
STAT/​MATH  309,ACT SCI 300,"
Develop a knowledge of fundamental mathematical tools for quantitatively assessing risk. Emphasize the applications of these tools to problems encountered in actuarial science. Enroll Info: None",1 credit.,ACTUARIAL SCIENCE METHODS I
STAT 311,ACT SCI 301,"
",1 credit.,ACTUARIAL SCIENCE METHODS II
STAT/​MATH  431,ACT SCI/​MATH  303,"
Develop a knowledge of mathematical tools for quantitatively assessing financial risk. Emphasize the applications to problems encountered in actuarial science. Enroll Info: None",3 ,THEORY OF INTEREST AND LIFE INSURANCE
MATH/​ACT SCI  303,ACT SCI 365,"
",1-3 ,CONTEMPORARY TOPICS
MATH 222,ACT SCI 650,"
Application of calculus to compound interest and insurance functions; interest compounded discretely and continuously; force of interest function; annuities payable discretely and continuously; bonds and yield rates; life tables, life annuities, single and annual premiums for insurance and annuities; reserves. Enroll Info: None",3 ,ACTUARIAL MATHEMATICS I
276,ACT SCI 651,"
",3 ,ACTUARIAL MATHEMATICS II
MATH/​ACT SCI  303,ACT SCI 652,"
Exploration of subject areas possibly to be introduced into the business curriculum. Enroll Info: None",3 ,LOSS MODELS I
STAT/​MATH  309,ACT SCI 653,"
",3 ,LOSS MODELS II
STAT 311,ACT SCI 654,"
Advanced problems in the mathematical theory of life contingencies; force of mortality, laws of mortality; premiums and reserves for insurance and annuities based on a single life. Enroll Info: None",3 ,REGRESSION AND TIME SERIES FOR ACTUARIES
STAT/​MATH  431,ACT SCI 655,"
",3 ,HEALTH ANALYTICS
ACT SCI 650,ACT SCI 765,"
Continuation of ",1-3 ,CONTEMPORARY TOPICS
ACCT IS 300,ACCT IS 100,"
Examines generally accepted accounting principles for measurement and reporting of financial information in a balance sheet, income statement, and statement of cash flows; introduction to analysis and interpretation of financial accounting data for decision-making purposes. Enroll Info: None",3 ,INTRODUCTORY FINANCIAL ACCOUNTING
ACCT IS 100,ACCT IS 211,"
",3 ,INTRODUCTORY MANAGERIAL ACCOUNTING
ACCT IS 100,ACCT IS 300,"
Managerial accounting concepts relevant for decision-making; use of accounting information for planning, decision-making, and control of business operations in various management and business environments. Enroll Info: None",3 , 
ACCT IS 100,ACCT IS 301,"
",3 ,ACCOUNTING PRINCIPLES
ACCT IS 301,ACCT IS 302,"
Introduction to accounting from a user's perspective. Covers both financial and managerial accounting. Accounting theory principles, presentation and interpretation of financial reports, financial statement analysis. Measurement, classification, planning and control of costs. Enroll Info: None",3 ,FINANCIAL REPORTING I
ACCT IS 211,ACCT IS 310,"
",3 ,FINANCIAL REPORTING II
ACCT IS 100,ACCT IS/​LAW  329,"
Examines current and emerging financial accounting theory and techniques used to measure and report financial information to investors, creditors, and other external users. Emphasizes asset and income determination, preparation and interpretation of financial statements, and related disclosure requirements. Enroll Info: None",3 ,COST MANAGEMENT SYSTEMS.
300,ACCT IS 340,"
",3 ,TAXATION: CONCEPTS FOR BUSINESS AND PERSONAL PLANNING
LAW 811,ACCT IS 365,"
Examines current and emerging financial accounting theory and techniques used to measure and report financial information to investors, creditors, and other external users, including dilutive securities, investments, revenue recognition, income tax allocation, pensions, leases and accounting changes. Enroll Info: None",1-3 ,ACCOUNTING SYSTEMS
ACCT IS 211,ACCT IS 399,"
",1-6 ,CONTEMPORARY TOPICS
ACCT IS 302,ACCT IS 406,"
Design of actual and standard cost systems for reporting product costs in job costing, process costing, and activity costing production environments. Overhead allocation methods. Budgeting and profit planning procedures. Techniques for variance analysis and performance evaluation. Behavioral considerations in the design and use of cost accounting information systems. Enroll Info: None",3 ,READING AND RESEARCH-ACCOUNTING
ACCT IS 620,ACCT IS 600,"
",3-6 ,ADVANCED FINANCIAL REPORTING
630,ACCT IS 601,"
An introduction to the U.S. income taxation concepts with emphasis on business and personal planning strategies. Taxes are placed in a framework which considers all costs of doing business. Includes approaches and skills needed to prepare individual, corporate, and partnership income tax returns. Enroll Info: None",3 ,ACCOUNTANCY INTERNSHIP AND PRACTICE RESEARCH
ACCT IS 601,ACCT IS 603,"
",3 ,PROFESSIONAL PRACTICE ISSUES IN ACCOUNTING AND AUDITING
ACCT IS 620,ACCT IS 620,"
Principles and problems of system design; organization for accounting control, internal control procedures and internal reports. Developing control, security, and auditability into information system applications. Enroll Info: None",3 ,FINANCIAL STATEMENT ANALYSIS
630,ACCT IS 621,"
",3 ,FUNDAMENTALS OF TAXATION
ACCT IS 601,ACCT IS 630,"
Exploration of subject areas possibly to be introduced into the business curriculum. Enroll Info: None",3 ,CORPORATE AND ADVANCED TAXATION
ACCT IS 302,ACCT IS 700,"
",3 ,AUDIT AND ASSURANCE SERVICES
702,ACCT IS 701,"
Individual work suited to the needs of undergraduate students may be arranged with a faculty member. Enroll Info: None",3 ,FINANCIAL ACCOUNTING
ACCT IS 301,ACCT IS 702,"
",3 ,FINANCIAL REPORTING I
ACCT IS 620,ACCT IS 706,"
Theoretical, procedural, and practical issues associated with the preparation of financial statements of alternative reporting entities, including the accounting for mergers and acquisitions, consolidations, foreign operations, and complex financial instruments. Enroll Info: None",3 ,FINANCIAL REPORTING II
ACCT IS 301,ACCT IS 710,"
",3 ,ADVANCED FINANCIAL REPORTING
ACCT IS 700,ACCT IS 711,"
An opportunity for students to experience a professional accounting practice first hand and to integrate this experience with their formal education. Enroll Info: None",2 ,MANAGERIAL ACCOUNTING
ACCT IS 701,ACCT IS 722,"
",3 ,STRATEGIC COST MANAGEMENT
ACCT IS 701,ACCT IS 723,"
Study of current accounting and audit issues within a case context. Students will be required to perform computerized research, analyze topical accounting and audit issues, and make case presentations. Intensive three week course to build on experiences developed during the internship program. Enroll Info: None",3 ,TAXATION OF PASS-THROUGH ENTITIES
ACCT IS 700,ACCT IS 724,"
",3 ,FEDERAL ESTATE AND GIFT TAXATION
AGRONOMY 100,AGRONOMY 1,"
Full-time off-campus work experience which combines classroom theory with practical knowledge of operations to provide students with a background upon which to base a professional career. Enroll Info: Students receive credit only for the term in which they are actively enrolled and working. The same work experience may not count towards credit in ",1 credit.,COOPERATIVE EDUCATION/CO-OP IN AGRONOMY
DY SCI/​AN SCI  101,AGRONOMY 100,. Students shall obtain consent of their advisor as well as consent of instructor.,4 ,PRINCIPLES AND PRACTICES IN CROP PRODUCTION
ZOOLOGY/​BIOLOGY  101,AGRONOMY/​AGROECOL/​C&E SOC/​ENTOM/​ENVIR ST  103,"
",3 ,AGROECOLOGY: AN INTRODUCTION TO THE ECOLOGY OF FOOD AND AGRICULTURE
ZOOLOGY/​BIOLOGY/​BOTANY  151,AGRONOMY/​ENTOM/​NUTR SCI  203,"
Plant science applied to the growth, production, management, distribution and utilization of field crops. Enroll Info: None",3 ,INTRODUCTION TO GLOBAL HEALTH
AGRONOMY 100,AGRONOMY 289,"
",1-2 ,HONORS INDEPENDENT STUDY
BIOCORE 381,AGRONOMY 299,"
Agroecology has blossomed across the world in recent decades as not only a science, but also a practice, and a movement. Employ the multiple disciplines and perspectives that Agroecology affords to analyze our agricultural and food systems wihin a broader context of dynamic social and ecological relationships. Enroll Info: None",1-3 ,INDEPENDENT STUDY
CHEM 103,AGRONOMY 300,"
",3 ,CROPPING SYSTEMS
109,AGRONOMY 302,"
Introduces students to global health concepts through multidisciplinary speakers dedicated to improving health through their unique training.  It targets students with an interest in public health and those who wish to learn how their field impacts their global issues. Enroll Info: None",3 ,FORAGE MANAGEMENT AND UTILIZATION
115,AGRONOMY/​HORT/​SOIL SCI  326,"
",3 ,PLANT NUTRITION MANAGEMENT
SOIL SCI/​ENVIR ST/​GEOG  230,AGRONOMY/​HORT  328,"
Research work under direct guidance of an Agronomy faculty or instructional academic staff member. Enroll Info: Students are responsible for arranging the work and credits with the supervising instructor. Intended for students in the CALS Honors Program.",4 ,INTEGRATED WEED MANAGEMENT
SOIL SCI 301,AGRONOMY/​HORT  338,"
",3 ,PLANT BREEDING AND BIOTECHNOLOGY
BOTANY/​BIOLOGY  130,AGRONOMY/​BOTANY/​HORT  339,"
Research work under direct guidance of a faculty or instructional academic staff member. Enroll Info: Students are responsible for arranging the work and credits with the supervising instructor.",4 ,PLANT BIOTECHNOLOGY: PRINCIPLES AND TECHNIQUES I
AGRONOMY 100,AGRONOMY/​BOTANY/​HORT  340,"
",4 ,PLANT CELL CULTURE AND GENETIC ENGINEERING
BOTANY/​BIOLOGY  130,AGRONOMY/​A A E/​INTER-AG/​NUTR SCI  350,"
Agronomic cropping systems of the Midwest: environmental impacts, productivity, and profitability. Cropping system diversification and sustainable agriculture. An agroecological approach, the application of ecological concepts and principles for the improvement of cropping systems is emphasized. Enroll Info: None",3 ,WORLD HUNGER AND MALNUTRITION
GENETICS 466,AGRONOMY/​ENTOM/​HORT/​PL PATH/​SOIL SCI  354,"
",1 credit.,DIAGNOSING AND MONITORING PEST AND NUTRIENT STATUS OF FIELD CROPS
467,AGRONOMY/​HORT  360,"
Establishment, management, harvesting and utilization of forage crops for use as hay, pasture and silage. Emphasis on cool season perennial grasses and legumes. Enroll Info: None",2 ,"GENETICALLY MODIFIED CROPS: SCIENCE, REGULATION & CONTROVERSY"
BIOCORE 381,AGRONOMY/​BOTANY/​SOIL SCI  370,"
",3 ,GRASSLAND ECOLOGY
ZOOLOGY/​BIOLOGY/​BOTANY  152,AGRONOMY/​AGROECOL/​DY SCI  371,"
Functions, requirements and uptake of essential plant nutrients; chemical and microbial processes affecting nutrient availability; diagnosis of plant and soil nutrient status; fertilizers and efficient fertilizer use in different tillage systems. Enroll Info: None",1-2 ,MANAGED GRAZING FIELD STUDY
ZOOLOGY/​BIOLOGY  102,AGRONOMY 375,"
",1-4 ,SPECIAL TOPICS
CHEM 104,AGRONOMY 377,"
Prevalence and persistence of weeds, evaluation of competitive and allelopathic effects, methods and principles of control including proper identification of common weed species. Enroll Info: None",3 ,CROPPING SYSTEMS OF THE TROPICS
109,AGRONOMY 399,"
",1-8 ,COORDINATIVE INTERNSHIP/COOPERATIVE EDUCATION
116,AGRONOMY 400,"
Principles of transferring plant genes by sexual, somatic, and molecular methods and the application of gene transfer in plant breeding and genetic engineering to improve crop plants. Enroll Info: None",1-6 ,STUDY ABROAD IN AGRONOMY
BOTANY/​BIOLOGY  130,AGRONOMY 500,"
",2 ,SENIOR CAPSTONE EXPERIENCE
ZOOLOGY/​BIOLOGY/​BOTANY  152,AGRONOMY/​HORT  501,"
Theoretical and practical training in plant biotechnology including molecular biology, protein biochemistry and basic bioinformatic techniques used in fundamental and applied research on plants. Valuable hands-on training to those interested in careers in biotechnology. Enroll Info: None",3 ,PRINCIPLES OF PLANT BREEDING
ECON 101,A A E 1,"
Full-time off-campus work experience which combines classroom theory with practical knowledge of operations to provide students with a background upon which to base a professional career. Students receive credit only for the term in which they are actively enrolled and working. Enroll Info: The same work experience may not count towards credit in ",1 credit.,COOPERATIVE EDUCATION/CO-OP IN AGRICULTURAL & APPLIED ECONOMICS
111,A A E 215,. Students must have a declared major in Agricultural and Applied Economics or Agricultural Business Management and will require consent of the supervising instructor and academic advisor.,4 , 
A A E 215,A A E/​ENVIR ST  244,"
",4 ,INTRODUCTION TO AGRICULTURAL AND APPLIED ECONOMICS
ECON 101,A A E 246,"
Introduction to economic ways of thinking about a wide range of problems and issues. Topics include consumption, production, prices, markets, finance, trade, pollution, growth, farms, taxes, and development. Enroll Info: None",3 ,THE ENVIRONMENT AND THE GLOBAL ECONOMY
111,A A E 289,"
",1-2 ,CLIMATE CHANGE ECONOMICS AND POLICY
A A E 215,A A E 299,"
The ""economic way of thinking"" about global and regional environmental issues. Topics include climate change, biodiversity preservation, ocean fisheries, environmental impacts of international trade, poverty and the environment, and sustainability. Enroll Info: None",1-3 ,HONORS INDEPENDENT STUDY
ECON 101,A A E/​ECON/​REAL EST/​URB R PL  306,"
",3 ,INDEPENDENT STUDY
111,A A E 319,"
Climate change and the role of applied economics in related policy analysis and research. Economics of mitigation, adaptation and geo-engineering; integrated assessment; environmental implications of energy use; climate change impacts on land use. Use of economic analysis and modeling for public policy design. Enroll Info: None",3 ,THE REAL ESTATE PROCESS
A A E 215,A A E 320,"
",3 ,THE INTERNATIONAL AGRICULTURAL ECONOMY
ECON 101,A A E 322,"
Research work under direct guidance of an AAE faculty or instructional academic staff member. Students are responsible for arranging the work and credits with the supervising instructor. Intended for students in the CALS Honors Program. Enroll Info: None",3 ,FARMING SYSTEMS MANAGEMENT
111,A A E 323,"
",3 ,COMMODITY MARKETS
SOC/​C&E SOC  140,A A E/​C&E SOC/​SOC  340,"
Research work under direct guidance of a faculty or instructional academic staff member. Students are responsible for arranging the work and credits with the supervising instructor. Enroll Info: None",3-4 ,COOPERATIVES
SOC 181,A A E/​ECON/​ENVIR ST  343,"
",3-4 ,ISSUES IN FOOD SYSTEMS
210,A A E/​AGRONOMY/​INTER-AG/​NUTR SCI  350,"
Introductory survey course. Decision-making processes for the manufacture, marketing, management and financing of real estate space. Survey of institutional context, economics of urbanization, historical pattern and structure of city growth, and public policy issues regarding urban environment and business management. Enroll Info: None",3 ,ENVIRONMENTAL ECONOMICS
211,A A E/​INTL ST  373,"
",3 ,WORLD HUNGER AND MALNUTRITION
A A E 215,A A E/​INTL ST  374,"
The nature of trade in agricultural products, trade policies and practices of importing and exporting nations, agricultural policies of major trading blocks, market instability and other primary commodity problems, recent history and current developments in multilateral trade policy. Enroll Info: None",3 ,"GLOBALIZATION, POVERTY AND DEVELOPMENT"
ECON 101,A A E 375,"
",1-4 ,THE GROWTH AND DEVELOPMENT OF NATIONS IN THE GLOBAL ECONOMY
111,A A E 399,"
Methods of economic analysis, planning and management applied to conventional and alternative farming systems. Enroll Info: None",1-8 ,SPECIAL TOPICS
A A E 215,A A E 400,"
",1-6 ,COORDINATIVE INTERNSHIP/COOPERATIVE EDUCATION
PHYSICS 104,ANATOMY 329,"
Enroll Info: None",2 ,HUMAN ANATOMY-KINESIOLOGY
202,ANATOMY 429,"
",5 ,HUMAN ANATOMY LABORATORY FOR PHYSICIAN ASSISTANTS
208,ANATOMY/​B M E/​MED PHYS/​PHMCOL-M/​PHYSICS/​RADIOL  619,"
Prosected specimens and some supervised dissection. Enroll Info: Admission to phy asst professional curric or cons inst",3 ,MICROSCOPY OF LIFE
248,ANATOMY 622,"
",6 ,"HUMAN ANATOMY-PHYSICAL THERAPY, OCCUPATIONAL THERAPY"
PHYSICS/​MED PHYS  265,ANATOMY 699,"
Survey of state of the art microscopic, cellular and molecular imaging techniques, beginning with subcellular microscopy and finishing with whole animal imaging. Enroll Info: None",1-4 ,INDEPENDENT STUDY
ZOOLOGY/​BIOLOGY  101,ANAT&PHY 235,"
Learn basic physiological concepts, apply them to understand human health and disease, and link them to broader core concepts in biology. Complete a project that applies conceptual understanding of general biology and physiology to investigate and create informational materials for the public about a disease or health promotion strategy. The foundational knowledge covered serves those interested in health sciences majors, as well as non-science students interested in life-long health. Enroll Info: None",4 ,HUMAN PHYSIOLOGY AND HEALTH
BOTANY/​BIOLOGY  130,ANAT&PHY 335,"
",5 ,PHYSIOLOGY
ZOOLOGY/​BIOLOGY/​BOTANY  151,ANAT&PHY 337,"
Comprehensive coverage of human physiology from cellular to organ-system level. Topics include homeostasis, membrane transport, cellular neurophysiology, regulation of metabolism, and functions of the nervous, endocrine, muscular, cardiovascular, respiratory, renal, and gastrointestinal systems. Enroll Info: Not open to students with credit for PHYSIOL 335 prior to fall 2018.",3 ,HUMAN ANATOMY
ZOOLOGY 153,ANAT&PHY 338,"
",2 ,HUMAN ANATOMY LABORATORY
BIOCORE 381,ANAT&PHY 435,"
Uses a regional approach to provide a foundation of knowledge in human anatomy. Units cover an introduction to anatomical systems; back and limbs; thorax, abdomen, and pelvis; and head and neck. Enroll Info: None",5 ,FUNDAMENTALS OF HUMAN PHYSIOLOGY
AFRICAN 321,AFRICAN 100,"
An introduction to current research in African cultural studies, ranging from various literary genres and uses of discourse; to diverse media including screen media, music, cartoons, and journalism; and to other forms of popular expression like soccer and drama. Through an introduction to these forms, students will also gain an overview of the diverse methods used by scholars in this field, such as textual analysis, film criticism, ethnomusicology, discourse analysis, and ethnography; and to the cultural diversity of Africa and its diasporic cultures. Enroll Info: None",3 ,INTRODUCTION TO AFRICAN CULTURAL EXPRESSION
AFRICAN 322,AFRICAN/​HISTORY  129,"
",3-4 ,AFRICA ON THE GLOBAL STAGE
AFRICAN 323,AFRICAN 201,"
Explores the interplay between Africa and the World from the 19th century to the present, covering subjects such as the slave- trade, repatriation, Africanizing of culture in the Americas and Europe, the spread and revival of world religions, colonialism, global capitalism, the rise of global popular culture such as pop music and video films, environmental concerns and global epidemics. Enroll Info: None",3 , 
AFRICAN 324,AFRICAN 202,"
",3 ,INTRODUCTION TO AFRICAN LITERATURE
AFRICAN 329,AFRICAN 203,"
Survey of African literary traditions and introduction to literary analysis. Enroll Info: None",3 ,INTRODUCTORY TOPICS IN AFRICAN CULTURAL STUDIES
AFRICAN 332,AFRICAN/​FOLKLORE  210,"
",3 , 
AFRICAN 371,AFRICAN 211,"
An introductory discussion-based course on various topics in African cultural studies and African expressive cultures. Topics will include cultural and/or political themes that cut across multiple media and genres, including two or more of the following: literature, film, media, music, performance, language use, etc. Enroll Info: None",3 ,INTRODUCTORY TOPICS IN AFRICAN LITERATURE
AFRICAN 373,AFRICAN 212,"
",3-4 ,THE AFRICAN STORYTELLER
AFRICAN 201,AFRICAN/​FRENCH  216,"
Introduction to a special topic in African literature, focused on a specific region or genre. Enroll Info: None",3 ,THE AFRICAN AUTOBIOGRAPHY
301,AFRICAN/​AFROAMER  220,"
",3 ,INTRODUCTION TO AFRICAN POPULAR CULTURE
AFRICAN 671,AFRICAN 230,"
The oral tradition and the written word; the composition of stories, relationship between performer and audience, and transmission of tradition in various African societies. Enroll Info: None",3 ,MODERN AND CONTEMPORARY FRANCOPHONE TOPICS
AFRICAN 670,AFRICAN 231,"
",3 ,"HIPHOP, YOUTH CULTURE, AND POLITICS IN SENEGAL"
None,AFRICAN 232,"
The importance of autobiography in depicting social change in the lives of Africans. Enroll Info: So st or cons inst",3 ,INTRODUCTION TO YORUBA LIFE AND CULTURE
None,AFRICAN/​AFROAMER  233,"
",3 ,INTRODUCTION TO ARABIC LITERARY CULTURE
None,AFRICAN/​FOLKLORE  270,"
This course will use aspects of popular culture (such as popular literature, music, television, news media, movies, etc.) to introduce students to the African continent and its cultures, people, and anguages. Students will be exposed to a variety of texts from different regions on the continent, learning about differences and similarities across the continent at the level of aesthetics and context. Enroll Info: None",3 ,INTRODUCTION TO SWAHILI CULTURES
None,AFRICAN/​AFROAMER/​ANTHRO/​GEOG/​HISTORY/​POLISCI/​SOC  277,"
",4 , 
None,AFRICAN/​AFROAMER/​HISTORY/​POLISCI  297,"
Modern and contemporary topics in the African francophone world, which includes both the African continent and the African diaspora. Taught in English. Enroll Info: None",4 ,GLOBAL HIPHOP AND SOCIAL JUSTICE
None,AFRICAN 300,"
",3 ,THE HERO AND TRICKSTER IN AFRICAN ORAL TRADITIONS
None,AFRICAN 301,"
This course explores how HipHop, a quintessential manifestation of African American culture, is adopted and adapted by African youth to fight for social justice and democracy in their local contexts, while at the same time constructing a diasporic African sensibility and ""cultural citizenship"" that transcends boarders and oceans. Beginning with the history, culture, and politics of HipHop in the U.S., we compare and contrast HipHop's development in Africa with specific attention to Senegal. Students will develop a familiarity with youth culture and politics in Senegal and study the ongoing process of cross-cultural flows and hybridity. Enroll Info: None",3 ,AFRICA: AN INTRODUCTORY SURVEY
None,AFRICAN 303,"
",3 , 
None,AFRICAN 321,"
Introduction to some aspects of the life and culture of Yoruba-speaking people of West Africa, Cuba, Brazil, and Haiti, including the importance of Yoruba culture in the Americas. Enroll Info: None",5 ,AFRICAN AND AFRICAN-AMERICAN LINKAGES: AN INTRODUCTION
None,AFRICAN 322,"
",5 ,AFRICAN LITERATURE IN TRANSLATION
None,AFRICAN 323,"
Survey course on Arabic cultural production. Through the course, students will develop a historic and critical understanding of Arabic literary traditions, as well as related musical and visual arts, up to the twenty-first century. Enroll Info: None",4 ,INTRODUCTION TO AFRICAN LINGUISTICS
None,AFRICAN 324,"
",4 ,AFRICAN LITERATURE AND VISUAL CULTURE
None,AFRICAN 325,"
A multi-disciplinary perspective on the identities, history, language, literature, and artistic heritage of Swahili speakers. Enroll Info: None",2 ,FIRST SEMESTER ARABIC
None,AFRICAN 326,"
",2 ,SECOND SEMESTER ARABIC
None,AFRICAN 327,"
Can HipHop culture help produce a more just world? If so, what theory and praxis best advance this aim? These are the questions that drive this conceptual course. Our critical interrogation of the relationship between HipHop and social justice considers the culture from its U.S. Black Power era underpinnings to its disparate contemporary ""glocal"" manifestations. We begin by asking what is ""HipHop,"" what is ""social justice,"" and what is their relationship, and proceed to consider how HipHop can be an effective force for social justice and what obstacles mitigate against this potential. These discussions will develop familiarity with important concepts in Black studies and social theory such as race and colonialism, imperialism and hegemony, structure and agency, identity and strategic essentialism. Weekly readings will typically pair writings specifically on HipHop with theory from across the humanities and social sciences including philosophy, sociology, cultural studies, and political economy. We will endeavor to consider the race/class/gender dimensions of our weekly topics. Students will acquire a broader familiarity with HipHop activism, and develop new conceptual tools and critical thinking skills. Enroll Info: None",8 ,THIRD SEMESTER ARABIC
None,AFRICAN 329,"
",3 ,FOURTH SEMESTER ARABIC
None,AFRICAN 330,"
Two major characters in African oral tradition as treated in narrative, epic and heroic poetry. Enroll Info: None",3 ,COLLOQUIAL ARABIC
None,ANESTHES 699,"
Independent study projects as arranged with faculty or instructional staff. Enroll Info: None",0-5 ,INDEPENDENT STUDY
None,ANESTHES 812,"
",1-2 ,THIRD YEAR ANESTHESIA
None,ANESTHES 910,"
Enroll Info: 3rd yr Med st",1-4 ,LABORATORY RESEARCH IN ANESTHESIOLOGY-CSC
None,ANESTHES 919,"
",1-12 ,INDIVIDUALIZED FOURTH YEAR CLINICAL CLERKSHIP
None,ANESTHES 920,"
Enroll Info: 4th yr Med st",2-12 ,CLINICAL ANESTHESIA CLERKSHIP-CSC
None,ANESTHES 921,"
",2-12 ,CLINICAL ANESTHESIA CLERKSHIP-LACROSSE
None,ANESTHES 930,"
Individually arranged fourth year clinical clerkships (student must have Fourth Year Committee approval to count for fourth year credit). Enroll Info: 4th yr Med st",1 credit.,ADVANCED CARDIAC LIFE SUPPORT (ACLS)
None,ANESTHES 950,"
",1 credit.,ADVANCED ANESTHESIOLOGY WORKSHOP
AMER IND 302,AMER IND 100,"
Focus is history, social organization, political experience, artistic expression of North American Indians, using methods and materials from a number of disciplines as an introduction to the interdisciplinary field. Enroll Info: None",3 , 
AMER IND 401,AMER IND/​AFROAMER/​ASIAN AM/​CHICLA/​FOLKLORE  102,"
",3 ,INTRODUCTION TO AMERICAN INDIAN STUDIES
ANTHRO/​AMER IND  314,AMER IND/​ENGL  172,"
Introduction to comparative ethnic studies, examining race, ethnicity, and indigeneity within the United States. Includes perspectives from African American, American Indian, Asian American, and Chican@ and Latin@ studies. Enroll Info: None",3 , 
FOLKLORE/​ANTHRO  344,AMER IND 199,"
",1-3 ,INTRODUCTION TO COMPARATIVE US ETHNIC AND AMERICAN INDIAN STUDIES
FOLKLORE 100,AMER IND/​ENGL  246,"
Introduction to the oral and written literatures of the peoples of native North America. An engagement with texts across historical periods, tribal groups, and regions to examine forms such as oratory, sermon, testimony, autobiography, and contemporary poetry and novels. Enroll Info: None",3 , 
FOLKLORE 230,AMER IND 250,"
",3 ,LITERATURES OF NATIVE AMERICA
FOLKLORE 320,AMER IND/​ENGL  274,"
Independent study for freshmen and sophomores in collaboration with a faculty member. Enroll Info: Open to Fr and So only; cons inst",3 ,DIRECTED STUDY
ENGL/​AMER IND  172,AMER IND/​ENGL  275,"
",3 , 
SOC/​C&E SOC  140,AMER IND 301,"
Presents a broad range of literatures from diverse Native traditions and eras, to provide students with a basic knowledge of major issues affecting and best-known texts by American Indian women authors. Enroll Info: None",3 ,LITERATURE BY AMERICAN INDIAN WOMEN
SOC 181,AMER IND 302,"
",3 , 
SOC/​C&E SOC  210,AMER IND/​ENVIR ST  306,"
Introduces students to the various American Indian Nations within Wisconsin's borders with an emphasis on their history, culture, and sovereignty.  Examines individual tribes and bands as well as common issues that affect tribal and non-tribal people in Wisconsin. Enroll Info: None",3 ,INDIANS OF WISCONSIN
SOC/​C&E SOC  211,AMER IND/​ANTHRO  314,"
",3 , 
