"(BOTANY/​BIOLOGY  130, GENETICS 466, 467, or BIOCORE 381) or graduate/professional standing",AGRONOMY/​HORT  338,"
Principles of transferring plant genes by sexual, somatic, and molecular methods and the application of gene transfer in plant breeding and genetic engineering to improve crop plants. Enroll Info: None
",3,PLANT BREEDING AND BIOTECHNOLOGY
"(ZOOLOGY/​BIOLOGY/​BOTANY  152 or ZOOLOGY/​BIOLOGY  102) and (CHEM 104, 109, or 116) or graduate/professional standing",AGRONOMY/​BOTANY/​HORT  339,"
Theoretical and practical training in plant biotechnology including molecular biology, protein biochemistry and basic bioinformatic techniques used in fundamental and applied research on plants. Valuable hands-on training to those interested in careers in biotechnology. Enroll Info: None
",4,PLANT BIOTECHNOLOGY: PRINCIPLES AND TECHNIQUES I
"(BOTANY/​BIOLOGY  130, ZOOLOGY/​BIOLOGY/​BOTANY  152, or ZOOLOGY/​BIOLOGY  102) and (CHEM 104, 109, or 116) or graduate/professional standing",AGRONOMY/​BOTANY/​HORT  340,"
Theoretical and practical training in plant cell and tissue culture, and plant genetic engineering. Includes overview of current techniques, biosafety and regulatory requirements, and experimental design and analysis used in fundamental and applied research on plants. Valuable hands-on training to those interested in careers in biotechnology. Enroll Info: None
",4,PLANT CELL CULTURE AND GENETIC ENGINEERING
None,AGRONOMY/​A A E/​INTER-AG/​NUTR SCI  350,"
Hunger and poverty in developing countries and the United States. Topics include: nutrition and health, population, food production and availability, and income distribution and employment. Enroll Info: None
",3,WORLD HUNGER AND MALNUTRITION
None,AGRONOMY/​ENTOM/​HORT/​PL PATH/​SOIL SCI  354,"
Provides students with information necessary to diagnosis and monitor corn, soybean, alfalfa and wheat for pests (insects, weeds, diseases) and nutrient deficiency symptoms including perspectives from Agronomy, Entomology, Horticulture, Plant Pathology and Soil Science. Proper soil and pest sampling information will be provided as will proper cropstaging techniques which are essential for pest and nutrient management. Enroll Info: None
",1,DIAGNOSING AND MONITORING PEST AND NUTRIENT STATUS OF FIELD CROPS
"ZOOLOGY/​BIOLOGY  101, BOTANY/​BIOLOGY  130, ZOOLOGY/​BIOLOGY/​BOTANY  151, BIOCORE 381, GENETICS 466, or GENETICS 467",AGRONOMY/​HORT  360,"
Explores how and why genetically modified (GM) crops are created and their regulation at the federal and state level. Through case studies, students will learn about the impacts of GM crops and critically evaluate arguments both for and against their use. Readings and discussion introduce students to the complex economic, cultural, and political issues surrounding GM crops. Enroll Info: None
",2,"GENETICALLY MODIFIED CROPS: SCIENCE, REGULATION & CONTROVERSY"
"PL PATH/​BOTANY  123, BOTANY/​BIOLOGY  130, SOIL SCI/​ENVIR ST  101, SOILSCI 132, ZOOLOGY/​BIOLOGY/​BOTANY  151, BIOCORE 381, BOTANY 100, or AGRONONY 100, or graduate/professional standing",AGRONOMY/​BOTANY/​SOIL SCI  370,"
Understand factors driving global, continental, regional, and local distribution of grasslands. Discuss how management affects provision of grassland ecosystem goods and services. Compare and contrast plant community and ecosystem dynamics in native prairie and intensively managed pastures. Enroll Info: None
",3,GRASSLAND ECOLOGY
Consent of instructor,AGRONOMY/​AGROECOL/​DY SCI  371,"
For those interested in developing a comprehensive understanding of the principles, practices, and conservation potential of managed grazing systems, and how these farming systems may contribute to the sustainability and diverse tapestry of Wisconsin's working landscape. Visit managed grazing systems of successful grazing-based farmers (graziers) across southern/central counties in Wisconsin, and/or research sites at UW's Arlington and/or Lancaster Research Stations and/or the Discovery Farms Program. An opportunity to discuss at length with farm managers and researchers the practices in place at each farm and research site. Includes introduction to UWEX pasture forage/nutrient management planning and budgeting software. Enroll Info: None
",1-2,MANAGED GRAZING FIELD STUDY
None,AGRONOMY 375,"
Special topics on issues relevant to Agronomy. Enroll Info: None
",1-4,SPECIAL TOPICS
(BOTANY/​BIOLOGY  130 or ZOOLOGY/​BIOLOGY/​BOTANY  152) or graduate/professional standing,AGRONOMY 377,"
Crops and cropping systems of the tropics. The environmental requirements of the major crops, their botany, and how they fit into local farming systems will be emphasized. For students with broad interests in tropical agriculture and food production. Enroll Info: None
",3,CROPPING SYSTEMS OF THE TROPICS
Consent of instructor,AGRONOMY 399,"
An internship under guidance of a faculty or instructional academic staff member in Agronomy and internship site supervisor. Enroll Info: Students are responsible for arranging the work and credits with the faculty or instructional academic staff member and the internship site supervisor.
",1-8,COORDINATIVE INTERNSHIP/COOPERATIVE EDUCATION
None,AGRONOMY 400,"
Provides an area equivalency for courses taken on Madison Study Abroad Programs that do not equate to existing UW courses. Enroll Info: Current enrollment in a UW-Madison study abroad program
",1-6,STUDY ABROAD IN AGRONOMY
Senior standing only,AGRONOMY 500,"
A stepping stone between the classroom and society. Emphasizes discussion and activities for enhancing integration of diverse bodies of knowledge, critical thinking, and effective written and oral communication. Enroll Info: None
",2,SENIOR CAPSTONE EXPERIENCE
"(GENETICS 466 or 467) and (BOTANY/​BIOLOGY  130, ZOOLOGY/​BIOLOGY/​BOTANY  151, or BIOCORE 381) or graduate/professional standing",AGRONOMY/​HORT  501,"
Principles involved in breeding and maintaining economic crops; factors affecting the choice of breeding methods; alternative approaches through hybridization and selection. Enroll Info: None
",3,PRINCIPLES OF PLANT BREEDING
"(GENETICS 466 or 467) and (BOTANY/​BIOLOGY  130, ZOOLOGY/​BIOLOGY/​BOTANY  151, or BIOCORE 381) or graduate/professional standing",AGRONOMY/​HORT  502,"
Lab and field techniques used in breeding and maintaining economic crops. Enroll Info: None
",1,TECHNIQUES OF PLANT BREEDING
"BIOLOGY/​BOTANY  130 and (MATH 211, 217, 221 or 275) and (PHYSICS 103, 201, 207, or 247), or graduate/professional standing",AGRONOMY/​ATM OCN/​SOIL SCI  532,"
Plant-environment interactions with particular reference to energy exchanges and water relations. Models are used to provide a quantitative synthesis of information from plant physiology, soil physics, and micrometeorology with some consideration of plant-pest interactions. Enroll Info: Students should have completed at least one course in Botany, Agronomy, or Plant Sciences to feel comfortable with the course content.
",3,ENVIRONMENTAL BIOPHYSICS
Consent of instructor,AGRONOMY/​C&E SOC/​MED HIST/​PHILOS  565,"
Study of ethical issues arising from the application of modern biotechnology to microorganisms, crops, and non-human animals. Readings cover moral theory, technology studies, political philosophy, the science used in biotechnology, and current regulations governing its use. Enroll Info: None
",3-4,THE ETHICS OF MODERN BIOTECHNOLOGY
Graduate/professional standing,AGRONOMY/​AN SCI/​GENETICS/​HORT  615,"
Computing-intensive course to prepare students for genetic mapping research; linkage analysis and QTL mapping in designed crosses; linkage disequilibrium and association analysis (GWAS). Enroll Info: Recommended preparation is undergraduate courses in genetics and statistics and prior experience writing R scripts (such as module 1 of STAT 327).
",3,GENETIC MAPPING
"(CHEM 341 or 343) and (BOTANY/​BIOLOGY  130 and ZOOLOGY/​BIOLOGY  102) and (ZOOLOGY/​BIOLOGY/​BOTANY  152, or BIOCORE 383); or graduate/professional standing",AGRONOMY/​ENTOM/​F&W ECOL/​M&ENVTOX  632,"
Introduction to natural and man-made toxins/toxicants, their distribution, transport, and fate in the environment. Enroll Info: None
",1,ECOTOXICOLOGY: THE CHEMICAL PLAYERS
M&amp;ENVTOX 632,AGRONOMY/​ENTOM/​F&W ECOL/​M&ENVTOX  633,"
Addresses absorption, biotransformation, elimination of toxins in a wide variety of taxa (plants, invertebrates, vertebrates). Enroll Info: None
",1,ECOTOXICOLOGY: IMPACTS ON INDIVIDUALS
"M&amp;ENVTOX 633 or declared in Molecular and Environmental Toxicology, PhD program",AGRONOMY/​ENTOM/​F&W ECOL/​M&ENVTOX  634,"
Focuses on the impact of toxicants on populations, communities, ecosystems, and includes risk evaluation. Includes lectures, current research presentations, and discussions. Enroll Info: None
",1,"ECOTOXICOLOGY: IMPACTS ON POPULATIONS, COMMUNITIES AND ECOSYSTEMS"
Consent of instructor,AGRONOMY 681,"
Individual study for majors completing theses for Agronomy Honors degrees. Enroll Info: None
",2-4,SENIOR HONORS THESIS
Consent of instructor,AGRONOMY 682,"
Individual study for majors completing theses for Honors degrees as arranged with a faculty member. Enroll Info: Requires consent of supervising instructor. Continuation of AGRONOMY 681. Enrolled in CALS Honors Program.
",2-4,SENIOR HONORS THESIS
Consent of instructor,AGRONOMY 699,"
Independent research guided by an Agronomy faculty or instructional academic staff member. Students are responsible for arranging the work and credits with the supervising instructor. Enroll Info: None
",1-4,SPECIAL PROBLEMS
"(ZOOLOGY/​BIOLOGY/​BOTANY  152 or ZOOLOGY/​BOTANY/​ENVIR ST  260) and (PHYSICS 103 or CHEM 103, 109 or 115); or graduate/professional standing",AGRONOMY/​AGROECOL/​ENVIR ST  724,"
Impacts of global change drivers (climate change, atmospheric chemistry, bioenergy, urbanization, policy) on agroecosystems and their associated goods and services; environmental impacts of agricultural land use and feedbacks to climate; modeling approaches; critical review of current scientific literature. Enroll Info: None
",3,AGROECOSYSTEMS AND GLOBAL CHANGE
Graduate/professional standing,AGRONOMY 771,"
Review of methods for controlling error in research experiments; review and in-depth development of factorial treatment designs; theory, analysis, and examples of advanced experimental designs for plant and animal research. Enroll Info: Knowledge of statistics such as FSTAT 571 is strongly encouraged.
",1,EXPERIMENTAL DESIGNS
Graduate/professional standing,AGRONOMY 772,"
Development of models, programs, inferences, and interpretations of analysis of variance in biological research; mixed vs. random effects models and their development; choosing the correct inference range; variance and covariance analyses; repeated measures; dealing with missing data; SAS programming. Enroll Info: Knowledge of statistics such as FSTAT 571 is strongly encouraged.
",1,APPLICATIONS IN ANOVA
Consent of instructor,AGRONOMY 799,"
Instructional orientation to teaching at the higher education level in the agricultural and life sciences, direct teaching experience under faculty supervision, experience in testing and evaluation of students, and the analysis of teaching performance. Enroll Info: None
",1-3,PRACTICUM IN AGRONOMY TEACHING
"(STAT/​F&amp;W ECOL/​HORT  572, GENETICS 466 or GENETICS 467) or graduate/professional standing",AGRONOMY/​HORT  811,"
Use of statistical methods to facilitate improvements in quantitative traits of cultivated plants. Enroll Info: None
",3,BIOMETRICAL PROCEDURES IN PLANT BREEDING
Graduate/professional standing,AGRONOMY/​HORT  812,"
Discuss advanced topics in selection theory and the utilization of molecular markers in selection. Enroll Info: None
",2,SELECTION THEORY FOR QUANTITATIVE TRAITS IN PLANTS
Graduate/professional standing,AGRONOMY/​HORT  850,"
Concepts in improvement of major crop species. Historically important breeding methods and new approaches. Lectures and discussion. Enroll Info: HORT/​AGRONOMY  338 or 501 or cons inst
",3,ADVANCED PLANT BREEDING
Graduate/professional standing,AGRONOMY 875,"
Special topics on issues relevant to Agronomy. Enroll Info: None
",1-4,SPECIAL TOPICS
Graduate/professional standing,AGRONOMY 920,"
Weekly seminar topics in agronomy and horticulture. Enroll Info: None
",1,SEMINAR
Graduate/professional standing,AGRONOMY/​ATM OCN/​BOTANY/​ENTOM/​ENVIR ST/​F&W ECOL/​GEOG/​ZOOLOGY  953,"
Introduces new graduate students to the diversity of ecologists across the UW-Madison campus. Includes discussions of key topics in professional development, research presentations by faculty members, and discussions of assigned papers with senior graduate students. Enroll Info: None
",1-2,INTRODUCTION TO ECOLOGY RESEARCH AT UW-MADISON
Graduate/professional standing,AGRONOMY/​GENETICS/​HORT  957,"
Graduate seminar in Plant Breeding  Plant Genetics (PBPG) that requires students to give oral scientific presentations on topics chosen by the instructors and/or the student¿s thesis research. This seminar is coordinated by PBPG faculty on a rotating basis. Enroll Info: None
",1,SEMINAR-PLANT BREEDING
Consent of instructor,AGRONOMY 990,"
Independent writing and research to complete thesis or dissertation requirements. Enroll Info: None
",1-9,RESEARCH
None,AFROAMER/​AMER IND/​ASIAN AM/​CHICLA/​FOLKLORE  102,"
Introduction to comparative ethnic studies, examining race, ethnicity, and indigeneity within the United States. Includes perspectives from African American, American Indian, Asian American, and Chican@ and Latin@ studies. Enroll Info: None
",3,INTRODUCTION TO COMPARATIVE US ETHNIC AND AMERICAN INDIAN STUDIES
None,AFROAMER 151,"
Survey of the characteristics and problems of Afro-Americans in contemporary society. Enroll Info: None
",3,INTRODUCTION TO CONTEMPORARY AFRO-AMERICAN SOCIETY
None,AFROAMER 154,"
The aesthetic and political evolution of hip-hop culture and its relationship to contemporary social issues. Enroll Info: None
",3,HIP-HOP AND CONTEMPORARY AMERICAN SOCIETY
Open to freshmen and sophomores only.,AFROAMER 155,"
The evolution of stereotypes. The literary manifestations of the assumptions black and white American writers hold toward members of the opposite race. Enroll Info: None
",3,THEY: RACE IN AMERICAN LITERATURE
None,AFROAMER 156,"
This course examines the interaction between Afro-American musical culture and its historical context, with an emphasis on the period from 1920 to the present. Enroll Info: None
",3,BLACK MUSIC AND AMERICAN CULTURAL HISTORY
Consent of instructor,AFROAMER 199,"
Enroll Info: None
",1-3,DIRECTED STUDY
None,AFROAMER/​ART HIST  204,"
This is a foundation course in the transdisciplinary field of Visual Cultures.  It examines theories and technologies of vision and visuality in their disparate manifestations over time and cultures and geographies. Enroll Info: None
",3,INTRODUCTION TO VISUAL CULTURES
None,AFROAMER/​AFRICAN  220,"
This course explores how HipHop, a quintessential manifestation of African American culture, is adopted and adapted by African youth to fight for social justice and democracy in their local contexts, while at the same time constructing a diasporic African sensibility and ""cultural citizenship"" that transcends boarders and oceans. Beginning with the history, culture, and politics of HipHop in the U.S., we compare and contrast HipHop's development in Africa with specific attention to Senegal. Students will develop a familiarity with youth culture and politics in Senegal and study the ongoing process of cross-cultural flows and hybridity. Enroll Info: None
",3,"HIPHOP, YOUTH CULTURE, AND POLITICS IN SENEGAL"
None,AFROAMER/​GEN&WS  221,"
This course will provide students with an overvview of the field of Black women's studies. Enroll Info: None
",3,INTRODUCTION TO BLACK WOMEN'S STUDIES
None,AFROAMER/​GEN&WS  222,"
An introduction to the writings of Afro-American women from the nineteenth to the twentieth century. Fiction, autobiography, non-fiction prose, and poetry will be read and discussed. Enroll Info: None
",3,INTRODUCTION TO BLACK WOMEN WRITERS
None,AFROAMER 225,"
Introduction to the history of African American theater and major African American playwrights and actors. Enroll Info: First yr stdts only
",3,INTRODUCTION TO AFRICAN AMERICAN DRAMATIC LITERATURE
None,AFROAMER 227,"
Analysis of major works of African American fiction, drama, poetry and autobiography.  Attention given to historical, cultural and biographical contexts. Enroll Info: Open to Fr and So only
",3,MASTERPIECES OF AFRICAN AMERICAN LITERATURE
None,AFROAMER 231,"
Survey from the African beginnings to the present day. Focus on slave trade and slavery; major black figures of the past; social, economic, and political trends within the black community. Enroll Info: None
",3,INTRODUCTION TO AFRO-AMERICAN HISTORY
None,AFROAMER/​AFRICAN  233,"
Can HipHop culture help produce a more just world? If so, what theory and praxis best advance this aim? These are the questions that drive this conceptual course. Our critical interrogation of the relationship between HipHop and social justice considers the culture from its U.S. Black Power era underpinnings to its disparate contemporary ""glocal"" manifestations. We begin by asking what is ""HipHop,"" what is ""social justice,"" and what is their relationship, and proceed to consider how HipHop can be an effective force for social justice and what obstacles mitigate against this potential. These discussions will develop familiarity with important concepts in Black studies and social theory such as race and colonialism, imperialism and hegemony, structure and agency, identity and strategic essentialism. Weekly readings will typically pair writings specifically on HipHop with theory from across the humanities and social sciences including philosophy, sociology, cultural studies, and political economy. We will endeavor to consider the race/class/gender dimensions of our weekly topics. Students will acquire a broader familiarity with HipHop activism, and develop new conceptual tools and critical thinking skills. Enroll Info: None
",3,GLOBAL HIPHOP AND SOCIAL JUSTICE
None,AFROAMER/​ART HIST  241,"
This course examines the rich heritage of African arts and architecture as they shape and have been shaped by the histories and cultural values (social, political, religious, philosophical, and aesthetic) of African peoples, both past and present, on the continent where humanity began. It includes an historical overview of selected artistic traditions from different parts of the continent from 26,000 BCE to the 21st century and thematic/cultural case studies: artists and aesthetics; textiles, decorative, and personal/body arts; architecture; and individual artists. Enroll Info: None
",3,INTRODUCTION TO AFRICAN ART AND ARCHITECTURE
None,AFROAMER/​ART HIST  242,"
Historical survey of Afro-American art. Beginning with the African heritage and concluding with creativity of the 1970's, it examines the evolution of Afro-American art. Attention to the aesthetic sensibilities of diverse styles as well as the social significance of Black art within the art arena. Enroll Info: None
",3,INTRODUCTION TO AFRO-AMERICAN ART
None,AFROAMER/​ANTHRO/​C&E SOC/​GEOG/​HISTORY/​LACIS/​POLISCI/​SOC/​SPANISH  260,"
Latin American culture and society from an interdisciplinary perspective; historical developments from pre-Columbian times to the present; political movements; economic problems; social change; ecology in tropical Latin America; legal systems; literature and the arts; cultural contrasts involving the US and Latin America; land reform; labor movements; capitalism, socialism, imperialism; mass media. Enroll Info: None
",3-4,LATIN AMERICA: AN INTRODUCTION
Sophomore standing; not open to special students,AFROAMER 265,"
Autobiographies of major Afro-Americans studied in depth to locate the constants and variables in the Black American experience. Focus on the variety of individual responses to conditions in the United States. Enroll Info: Freshman or Sophomore status for the honors offering
",3,AFRICAN-AMERICAN AUTOBIOGRAPHY
None,AFROAMER/​GEN&WS  267,"
Cultural images by and about Black women; feminine creativity in the arts within their historical, cultural, social, and political contexts. Enroll Info: Open to first year students
",3,ARTISTIC/CULTURAL IMAGES OF BLACK WOMEN
None,AFROAMER 271,"
Introductory level course on specific topics in African American culture. Enroll Info: None
",3,SELECTED TOPICS IN AFRICAN AMERICAN CULTURE
None,AFROAMER 272,"
Survey of the decisive role played by race in American politics, 1932-present. Focus on origins and accomplishments of ""the Second Reconstruction""; Black Power and white backlash; contemporary racial politics and issues. Enroll Info: None
",3,RACE AND AMERICAN POLITICS FROM THE NEW DEAL TO THE NEW RIGHT
None,AFROAMER/​HIST SCI/​MED HIST  275,"
Surveys the medical and scientific constructions of categories of race, placing the development of racial theories in a broad social and political context. The course will pay particular attention to the importance of racial science in slavery and colonialism. Enroll Info: None
",3,"SCIENCE, MEDICINE, AND RACE: A HISTORY"
None,AFROAMER/​AFRICAN/​ANTHRO/​GEOG/​HISTORY/​POLISCI/​SOC  277,"
African society and culture, polity and economy in multidisciplinary perspectives from prehistory and ancient kingdoms through the colonial period to contemporary developments, including modern nationalism, economic development and changing social structure. Enroll Info: None
",4,AFRICA: AN INTRODUCTORY SURVEY
None,AFROAMER/​AFRICAN/​HISTORY/​POLISCI  297,"
Analysis of retention of African elements in African-American oral, written, and material culture. Social, cultural, and political issues regarding race, self-definition, and self-determination in both Africa and North America will be examined. Enroll Info: None
",4,AFRICAN AND AFRICAN-AMERICAN LINKAGES: AN INTRODUCTION
Sophomore standing,AFROAMER 302,"
In-depth treatment of a key theme in black historical studies. Enroll Info: None
",3,UNDERGRADUATE STUDIES IN AFRO-AMERICAN HISTORY
None,AFROAMER 303,"
Study of the interpretations of the Afro-American past conveyed via theatrical films and television; relationship to other images of blacks found throughout the popular culture; relationship to societal trends. Enroll Info: So st
",3,"BLACKS, FILM, AND SOCIETY"
Sophomore standing,AFROAMER/​DANCE/​MUSIC  318,"
The influence of traditional West African dance/music heritage in historical, artistic, social contexts in the development of new hybrid forms of music/dance created by cross-pollination of cultures of Africans, Europeans and indigenous peoples in the New World. Enroll Info: None
",3,CULTURAL CROSS CURRENTS: WEST AFRICAN DANCE/MUSIC IN THE AMERICAS
Sophomore standing,AFROAMER/​HISTORY  321,"
Survey of African American history from 1900 to the present. Topics covered include segregation, the Civil Rights Movement, the political, social and cultural changes of the late 20th century, and the Obama presidency. Enroll Info: None
",3-4,AFRO-AMERICAN HISTORY SINCE 1900
Sophomore standing,AFROAMER/​HISTORY  322,"
Survey of African American history from its roots in Africa to the end of the 19th century. Topics considered include the slave trade, the political and cultural practices of enslaved communities, forms of resistance, Reconstruction, and systems of segregation. Enroll Info: None
",3-4,AFRO-AMERICAN HISTORY TO 1900
Sophomore standing,AFROAMER/​GEN&WS  323,"
Historical interplay of racism and sexism in the lives of Black and White women of different class backgrounds in the United States. Enroll Info: None
",3,"GENDER, RACE AND CLASS: WOMEN IN U.S. HISTORY"
None,AFROAMER/​GEN&WS  324,"
Explores African American women's experience from waning days of slavery to present. Topics include slavery, emancipation, reconstruction, segregation, migration, urban and rural poverty, civil rights, nationalism, feminism and sexual politics. Enroll Info: So st
",3,BLACK WOMEN IN AMERICA: RECONSTRUCTION TO THE PRESENT
None,AFROAMER/​GEN&WS  326,"
Assesses how race and gender (as well as socio-economic status, age, sexuality, region, etc.) shaped the experiences and options of African Americans, especially women, in U.S. society from WW II to the present. Enroll Info: So st
",3,RACE AND GENDER IN POST-WORLD WAR II U.S. SOCIETY
None,AFROAMER/​GEN&WS  333,"
Uses an interdisciplinary framework to examine the key assumptions, debates, and silences in contemporary black feminist thought. Enroll Info: Sophomore standing, a GenWS course, an AfroAmer course or consent of instructor
",3,BLACK FEMINISMS
Sophomore standing,AFROAMER 337,"
Black literature and culture during the 1920's. Focus on unique Black literary expression of era, historical background, esthetics, polemical essays. Enroll Info: None
",3,THE HARLEM RENAISSANCE
Sophomore standing,AFROAMER 338,"
Focuses on the notion of blackness as it is developed in the poetry and drama of key figures of the 1960s Black Arts Movement. Emphasizes the emergence of a critical discourse specific to a ""new"" black aesthetic. Enroll Info: None
",3,THE BLACK ARTS MOVEMENT
Sophomore standing,AFROAMER/​HISTORY  347,"
Major topics in the history of Caribbean societies from the European conquest to the present. Emphasis on colonial rule, slavery, and the diaspora communities created by Caribbean peoples in the United States and Europe. Enroll Info: None
",3,THE CARIBBEAN AND ITS DIASPORAS
None,AFROAMER/​GEN&WS  367,"
This course focuses on the art and visual culture by/or pertaining to women throughout the African Diaspora and Africa. Though the focus is on 10th century art by black women, it will go into visual culture (art objects, photographs, images, dress, culturally-coded representation) concerning black women historically. Enroll Info: Afro-Amer 242; majors only; So st or cons inst
",3,ART AND VISUAL CULTURE: WOMEN OF THE AFRICAN DIASPORA AND AFRICA
